unidade,grupo,tau,p,taxa_2010,taxa_2024
regiao_saude,Baia da Ilha Grande,0.6952380952380952,0.0003665345796624031,77.55364461946476,170.88453088127594
regiao_saude,Baixada Litoranea,0.5428571428571428,0.005583616806378755,54.3137125643811,107.62081599165606
regiao_saude,Centro-Sul,0.5238095238095238,0.0075331703386321,183.34173779330007,236.56419519075405
regiao_saude,Medio Paraiba,0.9047619047619048,3.290603535877068e-06,112.36712326220236,284.07173110634454
regiao_saude,Metropolitana I,0.5238095238095238,0.0075331703386321,79.58379548233552,87.13036024714589
regiao_saude,Metropolitana II,0.7333333333333333,0.00016921877783615535,81.61639273930764,170.5984403407075
regiao_saude,Noroeste,-0.4095238095238095,0.037666922228628774,213.19518365845346,177.98125679101773
regiao_saude,Norte,0.4857142857142857,0.013347575926843103,77.6675686633164,184.81047644388343
regiao_saude,Serrana,-0.5047619047619047,0.010072435153279713,247.9868787241653,190.18831863554684
macro3,Centro-Sul,0.3333333333333333,0.09245959511086133,171.3611003912809,229.01785229735415
macro3,Metropolitana,0.6761904761904762,0.0005320055051392103,79.9185873556849,100.7686065089867
macro3,Norte e Noroeste,0.37142857142857144,0.06003829090957913,92.92259946845078,152.41074448583495
