regiao_saude,ano,n,populacao,taxa
Noroeste,2021,198,350591.0,56.47606470217433
Noroeste,2022,199,336995.0,59.051321236220126
Noroeste,2023,204,345201.5,59.09591933986382
Noroeste,2024,196,353408.0,55.459978268743214
Norte,2010,569,848488.0,67.06046520398638
Norte,2011,527,848488.0,62.11048358963237
Norte,2012,493,859677.0,57.34711990666262
Norte,2013,498,872773.0,57.059510319407224
Norte,2014,473,882578.0,53.592996879595916
Norte,2015,479,892046.0,53.696782452922825
Norte,2016,527,901210.0,58.47693656306521
Norte,2017,483,910045.0,53.07429852369937
Norte,2018,495,935369.0,52.920291350258566
Norte,2019,563,945425.0,59.549937858635005
Norte,2020,484,955122.0,50.674154715313854
Norte,2021,507,964428.0,52.570020779156145
Norte,2022,568,907868.0,62.56416130979393
Norte,2023,561,938755.0,59.760001278288804
Norte,2024,520,969642.0,53.628040039519746
Serrana,2010,645,916984.0,70.33928618165639
Serrana,2011,676,916984.0,73.71993404465073
Serrana,2012,641,922396.0,69.49292928416861
Serrana,2013,706,928643.0,76.02490946467049
Serrana,2014,691,932530.0,74.09949277771224
Serrana,2015,599,936284.0,63.97631487881882
Serrana,2016,666,939542.0,70.88560170806628
Serrana,2017,636,942948.0,67.4480459155754
Serrana,2018,710,967466.0,73.3875919153748
Serrana,2019,687,972205.0,70.66410890707206
Serrana,2020,580,976775.0,59.37907911238514
Serrana,2021,576,981159.0,58.70608127734649
Serrana,2022,635,910020.0,69.77868618272126
Serrana,2023,567,936375.0,60.552663195835
Serrana,2024,534,962730.0,55.46726496525506
