macro_regiao,temp_media,temp_p05,temp_p95,temp_min_abs,temp_max_abs,ur_media,ur_p05,n_dias
Baia da Ilha Grande,22.94,18.35,27.84,13.28,34.22,81.12,69.75,5479
Baixada Litoranea,23.45,19.82,26.92,16.52,29.42,79.63,67.71,5479
Centro-Sul,19.11,10.2,26.45,3.65,31.57,80.99,63.42,5479
Medio Paraiba,21.74,16.79,26.33,11.33,34.1,75.97,61.45,5479
Metropolitana I,23.54,18.99,28.19,14.92,31.47,76.59,62.21,5479
Metropolitana II,21.65,14.29,28.06,9.25,32.48,80.06,65.75,5479
Noroeste,23.77,18.45,28.6,14.43,34.78,75.15,61.42,5479
Norte,23.87,19.86,27.65,16.21,30.99,77.91,67.22,5479
Serrana,17.48,12.03,22.31,6.63,27.2,82.86,67.42,5479
