macro_regiao,internacoes_i60_i69,internacoes_i60_i64,obitos_i60_i69_2010_2024,obitos_i60_i64_2010_2024,dias_total,dias_com_clima,temp_mediana,temp_p05,temp_p95,ur_mediana,ur_p05,ur_p95
Baia da Ilha Grande,4906,4632,1772,1107,5844,5844,22.827219202898547,18.35,27.873749999999994,81.375,69.68966131907308,91.1875
Baixada Litoranea,9209,8695,5614,3507,5844,5844,23.345833333333335,19.770833333333332,26.987499999999997,80.08333333333333,67.4223484848485,89.23312499999999
Centro-Sul,11117,9980,3407,2294,5844,5844,19.670833333333334,10.321041666666668,26.454166666666666,80.95833333333333,63.25625,96.99374999999998
Medio Paraiba,27386,20037,8783,5130,5844,5844,21.88294082125604,16.7378125,26.34375,76.67708333333334,61.35416666666667,87.79166666666666
Metropolitana I,137856,115781,89135,58729,5844,5844,23.440486111111113,18.95347644927536,28.231291666666664,77.30376984126984,62.48234126984127,88.96423611111112
Metropolitana II,39357,37785,17926,10758,5844,5844,21.996875000000003,14.417291666666667,28.229166666666668,79.54166666666666,64.94375000000001,94.58333333333333
Noroeste,10756,9258,3326,1956,5844,5844,23.820833333333333,18.439375000000002,28.620833333333334,75,61.541666666666664,88.89177631578946
Norte,15473,14074,7747,4405,5844,5844,23.764583333333334,19.796458333333334,27.6375,77.70833333333333,67.25208333333333,88.6473544973545
Serrana,32335,17942,9549,5707,5844,5844,17.786388888888887,12.093055555555555,22.439429924242425,83.18791666666667,67.35729166666667,94.78285024154587
TOTAL,288395,238184,147259,93593,52596,52596,22.34166666666667,14.446874999999999,27.63050620122631,79.16666666666666,64.4777462121212,92.08333333333333
