macro_regiao,dias_total,temp_obs,temp_na,temp_pct,ur_obs,ur_na,ur_pct,n_estacoes_media,temp_media,temp_p05,temp_p50,temp_p95,ur_media,ur_p05,ur_p50,ur_p95
Baia da Ilha Grande,5844,5844,0,100,5844,0,100,1.5219028062970568,22.94686290164487,18.35,22.827219202898547,27.873749999999994,81.05241569789786,69.68966131907308,81.375,91.1875
Baixada Litoranea,5844,5844,0,100,5844,0,100,1.6457905544147844,23.437953026729232,19.770833333333332,23.345833333333335,26.987499999999997,79.41244741381213,67.4223484848485,80.08333333333333,89.23312499999999
Centro-Sul,5844,5844,0,100,5844,0,100,1.1964407939767283,19.262650400199032,10.321041666666668,19.670833333333334,26.454166666666666,80.57621683201882,63.25625,80.95833333333333,96.99374999999998
Medio Paraiba,5844,5844,0,100,5844,0,100,2.596851471594798,21.730146389360936,16.7378125,21.88294082125604,26.34375,75.8345321215798,61.35416666666667,76.67708333333334,87.79166666666666
Metropolitana I,5844,5844,0,100,5844,0,100,5.524640657084189,23.534941445558715,18.95347644927536,23.440486111111113,28.231291666666664,76.69494624969684,62.48234126984127,77.30376984126984,88.96423611111112
Metropolitana II,5844,5844,0,100,5844,0,100,1.466974674880219,21.794841342035227,14.417291666666667,21.996875000000003,28.229166666666668,79.63251983229499,64.94375000000001,79.54166666666666,94.58333333333333
Noroeste,5844,5844,0,100,5844,0,100,1,23.78736289709622,18.439375000000002,23.820833333333333,28.620833333333334,75.07010442418199,61.541666666666664,75,88.89177631578946
Norte,5844,5844,0,100,5844,0,100,3,23.862090234752415,19.796458333333334,23.764583333333334,27.6375,77.80865590739955,67.25208333333333,77.70833333333333,88.6473544973545
Serrana,5844,5844,0,100,5844,0,100,3.857973990417522,17.55552121551348,12.093055555555555,17.786388888888887,22.439429924242425,82.59435999300625,67.35729166666667,83.18791666666667,94.78285024154587
