item,valor
Dias esperados internações (2010-2025),5844
Dias esperados óbitos (2010-2024),5479
Anos bissextos no período,4
Dias totais no dataset analítico,52596
Dias com temp_med NA,0
Dias com ur_med NA,0
Dias únicos no dataset,5844
Datas duplicadas,0
Número de macrorregiões,9
Rows total dataset,52596
Rows esperadas (9 × dias),52596
