macro_regiao,media_int_i60_i69,mediana_int_i60_i69,var_int_i60_i69,sobredisper_int,media_ob_i60_i69,mediana_ob_i60_i69,var_ob_i60_i69,sobredisper_ob,zeros_int,zeros_ob
Baia da Ilha Grande,0.26726288252114133,0,0.33505196867149084,1.253641977931549,0.10780556062541827,0,0.11310346474639564,1.0491431433614589,12933,14795
Baixada Litoranea,0.167670499482874,0,0.19192253721913607,1.144641053799325,0.11384883697349475,0,0.12173702350904074,1.069286492029624,42174,44169
Centro-Sul,0.1721282914931391,0,0.25503320342553554,1.481646051402892,0.056529890988733844,0,0.058976615474238166,1.0432819600871324,51402,57022
Medio Paraiba,0.3810610208675549,0,3.4500265743407974,9.053737814710576,0.1335858124961976,0,0.15458828248963294,1.1572208126071257,50876,58103
Metropolitana I,1.9661282472470645,0,188.52248114144578,95.88513943859532,1.3557066374642575,0,9.406605455300213,6.938525780838934,35484,39113
Metropolitana II,0.925403488644956,0,2.7702226580364298,2.9935295166142004,0.46739498865799284,0,0.780545406584189,1.6699909616603483,22282,27129
Noroeste,0.13276666753578598,0,1.2234131315796308,9.214761161719085,0.04336036294422861,0,0.045600461936607745,1.0516623672006715,68348,73528
Norte,0.3185572184705238,0,2.7168210982751013,8.528518397163522,0.1767430187990509,0,0.258578901539179,1.4630218681122105,35354,37985
Serrana,0.3510791202774229,0,15.143057366451364,43.13289082667552,0.10892726774958934,0,0.14155177806211494,1.2995072857929881,73548,79708
