macro_regiao,outcome,exposure,rr_p05,rr_p95,p_fdr_p05,lb_pvalue,status,classificacao
Metropolitana II,obitos_i60_i69,temp_med,1.0958807406969393,1.0136196298723203,0.5746027348607465,0.07694976115726493,valido,evidencia_insuficiente
Metropolitana II,obitos_i60_i69,ur_med,0.9702114865655138,0.8322502885449333,0.2565068418713478,0.05394767479559304,valido,evidencia_insuficiente
Metropolitana II,internacoes_i60_i64,temp_med,1.0060424392343368,0.8957523540243739,0.0040656217611147296,0.00247767982720803,valido,sinal_sugestivo
Metropolitana II,internacoes_i60_i64,ur_med,1.1085381155355305,1.0558491696342769,0.36603446073788576,0.00220185406507644,valido,evidencia_insuficiente
Metropolitana II,obitos_i60_i64,temp_med,1.1052379242983286,1.0558226768490653,0.39416299369022434,0.00214858687686125,valido,evidencia_insuficiente
Metropolitana II,obitos_i60_i64,ur_med,0.9860619187196268,0.8478061292128767,0.7072211233507346,0.00204904519582882,valido,evidencia_insuficiente
Noroeste,internacoes_i60_i69,temp_med,1.796217097387641,0.7863295693664989,0.00219871782023325,0.03149654038311955,valido,sinal_sugestivo
Noroeste,internacoes_i60_i69,ur_med,0.8782914409053791,1.0333947663343577,0.07229705744991713,0.03213449379379896,valido,sinal_sugestivo
Noroeste,obitos_i60_i69,temp_med,1.4185182078870844,1.2057495515809329,0.28658859785530244,0.10042253428581371,valido,evidencia_insuficiente
Noroeste,obitos_i60_i69,ur_med,0.9850778651960468,1.0418668139284528,0.5478251485957788,0.14255818950385613,valido,evidencia_insuficiente
Noroeste,internacoes_i60_i64,temp_med,1.9196651490347747,0.9236260458199942,0.00125774397463804,0.00329523757201699,valido,sinal_sugestivo
Noroeste,internacoes_i60_i64,ur_med,0.903677994341291,1.0714214235990036,0.371687179600508,0.0151434649501162,valido,evidencia_insuficiente
Noroeste,obitos_i60_i64,temp_med,1.8478364950032355,1.4068054472812546,0.04885413811783259,0.07682405454754115,valido,sinal_consistente
Noroeste,obitos_i60_i64,ur_med,0.7877596379759283,1.1012756897175937,0.3135312449302824,0.133878345154122,valido,evidencia_insuficiente
Norte,internacoes_i60_i69,temp_med,0.8193150315567193,0.4038457241884322,0.19386535171247415,0.35700343051200156,valido,evidencia_insuficiente
Norte,internacoes_i60_i69,ur_med,0.8478393562321768,1.3642343190160506,0.7527761441905806,0.27276888655371967,valido,evidencia_insuficiente
Norte,obitos_i60_i69,temp_med,1.4188458863895226,1.201667061302225,0.05884891127292817,0.1940759760617522,valido,sinal_sugestivo
Norte,obitos_i60_i69,ur_med,1.1435096853305975,0.9840532523469832,0.03407581175114548,0.17251553446591317,valido,sinal_consistente
Norte,internacoes_i60_i64,temp_med,0.959630774855022,0.9725790108216936,0.4155994609634459,7.916273986977584e-4,valido,evidencia_insuficiente
Norte,internacoes_i60_i64,ur_med,1.1057924436979707,1.200605515493009,0.777504033346293,5.248438082549045e-4,valido,evidencia_insuficiente
Norte,obitos_i60_i64,temp_med,1.3562877815245362,1.1075434525699266,0.7072211233507346,0.4672017720967041,valido,evidencia_insuficiente
Norte,obitos_i60_i64,ur_med,1.2024839264803815,1.0992097550126445,0.19605718833598315,0.4409225250174341,valido,evidencia_insuficiente
Serrana,internacoes_i60_i69,temp_med,2.726740747766628,1.3815271362345214,0.11898599714407627,0.0606986759265542,valido,evidencia_insuficiente
Serrana,internacoes_i60_i69,ur_med,0.816506552055088,0.7137119873752471,0.01461470045551379,9.460798811034009e-11,valido,sinal_sugestivo
Serrana,obitos_i60_i69,temp_med,1.1025301901375208,0.9244892855443518,0.32477495084113234,0.01365317906859608,valido,evidencia_insuficiente
Serrana,obitos_i60_i69,ur_med,1.0217718331422374,0.904500232985297,0.09912159900697055,0.02409747813455143,valido,sinal_sugestivo
Serrana,internacoes_i60_i64,temp_med,1.1241942865478072,0.922602877299408,0.32477495084113234,6.267656380942732e-5,valido,evidencia_insuficiente
Serrana,internacoes_i60_i64,ur_med,0.9725167898102176,1.0853695979249924,0.1337831590022414,3.924474450056614e-5,valido,evidencia_insuficiente
Serrana,obitos_i60_i64,temp_med,1.2707095975729512,0.9403699310930534,0.7277570175298905,0.2659800396845311,valido,evidencia_insuficiente
Serrana,obitos_i60_i64,ur_med,1.0336717014764365,0.734976118719004,0.00355706100909078,0.28956008163345404,valido,sinal_consistente
