left_out,n_regions_remaining,n_signals_p005,total_possible
Baia da Ilha Grande,8,32,128
Baixada Litoranea,8,27,128
Centro-Sul,8,30,128
Medio Paraiba,8,31,128
Metropolitana I,8,31,128
Metropolitana II,8,23,128
Noroeste,8,34,128
Norte,8,34,128
Serrana,8,30,128
