Macroregiao;N_municipios;N_monitorados;N_vizinhos;PM25_medio;PM25_min;PM25_max;Cobertura_direta_%
Baixada Litorânea;9;6;3;10.5;9.25;11.92;66.7
Baía da Ilha Grande;3;3;0;20.07;15.57;23.82;100.0
Centro-Sul;12;11;1;19.5;14.94;23.66;91.7
Metropolitana I;12;6;6;23.43;19.99;24.48;50.0
Metropolitana II;7;6;1;17.07;12.17;21.14;85.7
Médio Paraíba;11;9;2;20.63;6.86;24.42;81.8
Noroeste;14;13;1;11.29;10.24;12.02;92.9
Norte;8;8;0;9.53;8.77;10.48;100.0
Serrana;16;12;4;13.95;9.85;18.33;75.0
