modelo_id,macro_regiao,outcome,exposure,rr_p05,rr_p05_low,rr_p05_high,rr_p95,rr_p95_low,rr_p95_high,cen,p05_val,p50_val,p95_val,p_association,p_method,family,dispersion,alerta_convergencia,rr_explosivo,modelo_invalido,lb_pvalue,lb_statistic,acf_lag1,acf_lag7,acf_lag14,n_obs,df_exp,df_lag,lag_max,p_fdr_p05,p_p05,p_p95,classificacao,log_rr,se_log_rr,mu_hat,tau_hat,posterior_mean,posterior_sd,prob_rr_gt_1,prob_rr_gt_110,ci95_lower,ci95_upper,contraste
baia_da_ilha_grande_internacoes_i60_i64_temp_med,Baia da Ilha Grande,internacoes_i60_i64,temp_med,1.3499923967641558,0.9021524723673915,2.0201457371596554,0.894825328506582,0.6183113126944157,1.2949987362315067,22.827219202898547,18.35,22.827219202898547,27.873749999999994,0.06141979737071128,Wald HAC,quasipoisson,1.0453905053610144,FALSE,FALSE,FALSE,1.802548655667202e-4,40.96327383277239,-0.03666632643899181,-0.04013836122650889,-0.013175486958772336,5844,4,3,21,0.1340068306270064,1,1,evidencia_insuficiente,0.30009896040792694,0.20564831403645376,0.10263682082366521,0.1494490312625595,0.1708802975687586,0.12089652179460333,0.9212371905093341,0.265958951330745,-0.06607688514866392,0.40783748028618116,P05_vs_P50
baixada_litoranea_internacoes_i60_i64_temp_med,Baixada Litoranea,internacoes_i60_i64,temp_med,0.917615602737515,0.6929650301483616,1.2150950737110926,0.9965024879633424,0.7399343127985365,1.3420342743147016,23.345833333333335,19.770833333333332,23.345833333333335,26.987499999999997,0.06395383920018699,Wald HAC,quasipoisson,1.0289571159186748,FALSE,FALSE,FALSE,0.0068299491512459065,30.34912558706948,-0.020828497924664575,0.0013677290898795361,-0.006276198664879928,5844,4,3,21,0.13419529829790552,1,1,evidencia_insuficiente,-0.08597670945635806,0.14326481283442763,0.10263682082366521,0.1494490312625595,0.004346961335159178,0.10342069975704445,0.5167633383186241,0.8104472322951449,-0.19835761018864792,0.2070515328589663,P05_vs_P50
centro_sul_internacoes_i60_i64_temp_med,Centro-Sul,internacoes_i60_i64,temp_med,0.8999356243456739,0.6250229836920796,1.2957669543324037,0.9186894169355256,0.7084601797118856,1.1913023045735154,19.670833333333334,10.321041666666668,19.670833333333334,26.454166666666666,0.7329314675094916,Wald HAC,quasipoisson,1.032386043285213,FALSE,FALSE,FALSE,0.018350794000505655,27.160169546673046,-0.023013079190122233,-0.012028518109013923,-0.016360321269281577,5844,4,3,21,0.7527761441905806,1,1,evidencia_insuficiente,-0.1054320467209186,0.18598714759879237,0.10263682082366521,0.1494490312625595,0.021000979394402687,0.1164983619427943,0.5715290893045115,0.7382163483637867,-0.20733581001347415,0.2493377688022795,P05_vs_P50
medio_paraiba_internacoes_i60_i64_temp_med,Medio Paraiba,internacoes_i60_i64,temp_med,1.053119413164026,0.8700458489712233,1.2747150046107796,0.8421454353944782,0.7167583534331815,0.9894672743732033,21.88294082125604,16.7378125,21.88294082125604,26.34375,0.005489777555232519,Wald HAC,quasipoisson,1.031504880552486,FALSE,FALSE,FALSE,1.5562491298748427e-5,47.556557045079636,0.004850765230781004,0.0047984953631557805,-0.014060079232346841,5844,4,3,21,0.021959110220930077,1,0.005489777555232519,sinal_sugestivo,0.051756629537064856,0.09743163178175697,0.10263682082366521,0.1494490312625595,0.0669320318740652,0.08161854409912803,0.7939087988374794,0.6359643996086104,-0.09304031456022573,0.22690437830835614,P05_vs_P50
metropolitana_i_internacoes_i60_i64_temp_med,Metropolitana I,internacoes_i60_i64,temp_med,1.0936736769235422,1.0013463749836347,1.1945138480328639,0.8994332361629805,0.8251004576376626,0.9804626077057277,23.440486111111113,18.95347644927536,23.440486111111113,28.231291666666664,9.252997665703772e-16,Wald HAC,quasipoisson,1.3612813526229723,FALSE,FALSE,FALSE,5.625112597940074e-9,67.4256900869897,-0.007668950451727477,0.02339188737074107,0.03223225928790944,5844,4,3,21,3.331079159653358e-14,9.252997665703772e-16,9.252997665703772e-16,sinal_sugestivo,0.08954237515639733,0.04499842128716601,0.10263682082366521,0.1494490312625595,0.09063082066351881,0.04308765818197233,0.982284834466528,0.5432404828492677,0.006179010626853054,0.17508263070018457,P05_vs_P50
metropolitana_ii_internacoes_i60_i64_temp_med,Metropolitana II,internacoes_i60_i64,temp_med,1.0060424392343368,0.8273367440520639,1.223348771605969,0.8957523540243739,0.771304975638875,1.040278884595032,21.996875000000003,14.417291666666667,21.996875000000003,28.229166666666668,5.342755907561536e-4,Wald HAC,quasipoisson,1.1015304821910443,FALSE,FALSE,FALSE,0.0024776798272080347,33.45286187827907,0.004409303310527425,0.011085705696285359,-0.00614545049596927,5844,4,3,21,0.004065621761114732,1,1,sinal_sugestivo,0.006024256905369225,0.09977945727283771,0.10263682082366521,0.1494490312625595,0.035811823023487344,0.08298389399546965,0.6669662886668586,0.763308879890752,-0.12683660920763318,0.19846025525460786,P05_vs_P50
noroeste_internacoes_i60_i64_temp_med,Noroeste,internacoes_i60_i64,temp_med,1.9196651490347747,1.4530528637840885,2.5361185241545905,0.9236260458199942,0.7097179167054236,1.202005828565211,23.820833333333333,18.439375000000002,23.820833333333333,28.620833333333334,8.734333157208651e-5,Wald HAC,quasipoisson,1.1070208213266846,FALSE,FALSE,FALSE,0.0032952375720169957,32.594219108389545,-0.009952964771343716,0.01025200917028135,-0.005912105892299524,5844,4,3,21,0.0012577439746380458,8.734333157208651e-5,1,sinal_sugestivo,0.6521507692855842,0.14208367492412763,0.10263682082366521,0.1494490312625595,0.3912679993629248,0.10297372951973117,0.99992756068686,0.002025839493342819,0.18943948950425168,0.5930965092215978,P05_vs_P50
norte_internacoes_i60_i64_temp_med,Norte,internacoes_i60_i64,temp_med,0.9596307748550219,0.7671663579473861,1.200380092934167,0.9725790108216936,0.7674604993274481,1.2325193715114162,23.764583333333334,19.796458333333334,23.764583333333334,27.6375,0.3405606694006015,Wald HAC,quasipoisson,1.0494869847816626,FALSE,FALSE,FALSE,7.916273986977584e-4,36.79755955993598,-0.02162376243806802,0.005355554587413037,-0.010466425639697583,5844,4,3,21,0.4155994609634459,1,1,evidencia_insuficiente,-0.04120667802748759,0.11420659631654186,0.10263682082366521,0.1494490312625595,0.01182524536588056,0.09074373993896735,0.5518412840744548,0.8212156177934662,-0.16603248491449546,0.18968297564625658,P05_vs_P50
serrana_internacoes_i60_i64_temp_med,Serrana,internacoes_i60_i64,temp_med,1.1241942865478072,0.8806045400165969,1.4351649764182615,0.9226028772994079,0.7422958755525605,1.1467072595109347,17.786388888888887,12.093055555555555,17.786388888888887,22.439429924242425,0.2345596867185956,Wald HAC,quasipoisson,1.3470605494054,FALSE,FALSE,FALSE,6.267656380942732e-5,43.84600563878833,-0.016835944517908423,0.010902462847613304,0.0019173944277133994,5844,4,3,21,0.32477495084113234,1,1,evidencia_insuficiente,0.11706658933471548,0.12459858133362146,0.10263682082366521,0.1494490312625595,0.11114951505904398,0.0957011006784621,0.8772651580688493,0.43427192266090914,-0.07642464227074174,0.2987236723888297,P05_vs_P50
baia_da_ilha_grande_internacoes_i60_i64_ur_med,Baia da Ilha Grande,internacoes_i60_i64,ur_med,0.8540948905904385,0.5357099613912492,1.3617034117458342,1.1734632682205142,0.7631580215554188,1.8043655481157446,81.375,69.68966131907308,81.375,91.1875,0.04693620946214158,Wald HAC,quasipoisson,1.0450543624178366,FALSE,FALSE,FALSE,8.132182170261792e-5,43.14140627872575,-0.036557334800899975,-0.04005132728241898,-0.013477546094204821,5844,4,3,21,0.11653127866462738,1,1,evidencia_insuficiente,-0.15771297826261285,0.23798438924113705,-0.01906392772073906,0.06782977787690288,-0.02948087830407407,0.06523194412949056,0.32565636054438096,0.9721282786651085,-0.15733548879787554,0.0983737321897274,P05_vs_P50
