modelo_id,macro_regiao,outcome,exposure,rr_p05,rr_p05_low,rr_p05_high,rr_p95,rr_p95_low,rr_p95_high,cen,p05_val,p50_val,p95_val,p_association,p_method,family,dispersion,alerta_convergencia,rr_explosivo,modelo_invalido,lb_pvalue,lb_statistic,acf_lag1,acf_lag7,acf_lag14,n_obs,df_exp,df_lag,lag_max,p_fdr_p05,p_p05,p_p95,classificacao,contraste,posterior_mean,posterior_sd,ci95_lower,ci95_upper,prob_rr_gt_1,prob_rr_gt_110,mu_hat,tau_hat,rr_posterior_p05,rr_posterior_p95,cr95_lower_p05,cr95_upper_p05
baia_da_ilha_grande_internacoes_i60_i69_temp_med,Baia da Ilha Grande,internacoes_i60_i69,temp_med,1.2813573311409243,0.86628545810776,1.8953066736857944,0.9183709737059048,0.6414153980780529,1.3149126882091149,22.827219202898547,18.35,22.827219202898547,27.87374999999999,0.07724964246412044,Wald HAC,quasipoisson,1.046119291700157,FALSE,FALSE,FALSE,7.630147762716089e-5,43.314158306526025,-0.03989890014649309,-0.03614477459436315,-0.01678972386870213,5844,4,3,21,0.15032362857882897,1,1,evidencia_insuficiente,P05_vs_P50,0.21328819782609673,0.15226726444463287,-0.08515564048538368,0.5117320361375771,0.91935540763696,0.21922632121744265,0.16522101925113877,0.235298592474574,1.2377413142024107,1.2377413142024107,0.9183693378281078,1.668178038812373
baia_da_ilha_grande_internacoes_i60_i69_temp_med,Baia da Ilha Grande,internacoes_i60_i69,temp_med,1.2813573311409243,0.86628545810776,1.8953066736857944,0.9183709737059048,0.6414153980780529,1.3149126882091149,22.827219202898547,18.35,22.827219202898547,27.87374999999999,0.07724964246412044,Wald HAC,quasipoisson,1.046119291700157,FALSE,FALSE,FALSE,7.630147762716089e-5,43.314158306526025,-0.03989890014649309,-0.03614477459436315,-0.01678972386870213,5844,4,3,21,0.15032362857882897,1,1,evidencia_insuficiente,P95_vs_P50,-0.08286805642447415,0.15845330619723674,-0.39343653657105815,0.22770042372210983,0.3004937642423886,0.8695961611291263,-0.0760578458943113,0.3160876086668327,0.9204725896528264,0.9204725896528264,0.6747341371600873,1.2557090884244937
baia_da_ilha_grande_internacoes_i60_i69_ur_med,Baia da Ilha Grande,internacoes_i60_i69,ur_med,0.8474092963665959,0.5384981481872028,1.3335282915752742,1.0994006343193343,0.721895025533964,1.6743178883214067,81.375,69.68966131907308,81.375,91.1875,0.06523382556148186,Wald HAC,quasipoisson,1.0465531354302706,FALSE,FALSE,FALSE,3.820048903613315e-5,45.17563989422558,-0.0395574467889922,-0.03611156169993061,-0.01672422837086618,5844,4,3,21,0.13419529829790552,1,1,evidencia_insuficiente,P05_vs_P50,-0.06097392584936486,0.07938293883769032,-0.2165644859712379,0.09461663427250816,0.22121429807393353,0.9755083331483728,-0.04701218738247648,0.08451508065881352,0.9408477712627021,0.9408477712627021,0.8052806039464153,1.099237364406825
baia_da_ilha_grande_internacoes_i60_i69_ur_med,Baia da Ilha Grande,internacoes_i60_i69,ur_med,0.8474092963665959,0.5384981481872028,1.3335282915752742,1.0994006343193343,0.721895025533964,1.6743178883214067,81.375,69.68966131907308,81.375,91.1875,0.06523382556148186,Wald HAC,quasipoisson,1.0465531354302706,FALSE,FALSE,FALSE,3.820048903613315e-5,45.17563989422558,-0.0395574467889922,-0.03611156169993061,-0.01672422837086618,5844,4,3,21,0.13419529829790552,1,1,evidencia_insuficiente,P95_vs_P50,-0.01947107360931436,0.07009664428533757,-0.15686049640857602,0.11791834918994729,0.3905926608077057,0.9492339996729338,-0.03311316433404976,0.07416410488353914,0.9807172633890824,0.9807172633890824,0.8548233014206871,1.1251522380249597
baia_da_ilha_grande_obitos_i60_i69_temp_med,Baia da Ilha Grande,obitos_i60_i69,temp_med,1.6626066970342728,0.9890799375939182,2.79478020325403,1.2750842071594208,0.7577826993594075,2.145522372999244,22.8375,18.35,22.8375,27.83791666666666,0.07417112758418841,Wald HAC,quasipoisson,0.9834113587906153,FALSE,FALSE,FALSE,0.06340748347999414,22.811468096504544,-0.00810555147611931,-0.02087826296869549,-0.02951541142894366,5479,4,3,21,0.14834225516837682,1,1,evidencia_insuficiente,P05_vs_P50,0.2072154689212747,9.999928791940742e-4,0.2052554828780543,0.2091754549644951,1,0,0.2072111797121121,0.001,1.2302476233528437,1.2302476233528437,1.227838716664272,1.232661256094891
baia_da_ilha_grande_obitos_i60_i69_temp_med,Baia da Ilha Grande,obitos_i60_i69,temp_med,1.6626066970342728,0.9890799375939182,2.79478020325403,1.2750842071594208,0.7577826993594075,2.145522372999244,22.8375,18.35,22.8375,27.83791666666666,0.07417112758418841,Wald HAC,quasipoisson,0.9834113587906153,FALSE,FALSE,FALSE,0.06340748347999414,22.811468096504544,-0.00810555147611931,-0.02087826296869549,-0.02951541142894366,5479,4,3,21,0.14834225516837682,1,1,evidencia_insuficiente,P95_vs_P50,0.04892998529981222,9.999929066459808e-4,0.0469699992027861,0.05088997139683834,1,1,0.04892723188249881,0.001,1.0501468224511006,1.0501468224511006,1.048090565055481,1.0522071140348122
baia_da_ilha_grande_obitos_i60_i69_ur_med,Baia da Ilha Grande,obitos_i60_i69,ur_med,1.1773440141622025,0.6200879747188657,2.235390757758225,0.932042961227613,0.5013240319612143,1.7328195462234417,81.47916666666667,69.75,81.47916666666667,91.20083333333332,0.02656722509490489,Wald HAC,quasipoisson,0.9778008123488656,FALSE,FALSE,FALSE,0.05179874054232836,23.556294423043248,-0.00975729548605435,-0.02104363319942102,-0.0297194653598648,5479,4,3,21,0.07229705744991713,1,1,sinal_sugestivo,P05_vs_P50,0.08665846702346021,9.999953274596532e-4,0.08469847618163928,0.08861845786528114,1,1,0.0866577511609733,0.001,1.090524166144612,1.090524166144612,1.0883888420575936,1.0926636795514584
baia_da_ilha_grande_obitos_i60_i69_ur_med,Baia da Ilha Grande,obitos_i60_i69,ur_med,1.1773440141622025,0.6200879747188657,2.235390757758225,0.932042961227613,0.5013240319612143,1.7328195462234417,81.47916666666667,69.75,81.47916666666667,91.20083333333332,0.02656722509490489,Wald HAC,quasipoisson,0.9778008123488656,FALSE,FALSE,FALSE,0.05179874054232836,23.556294423043248,-0.00975729548605435,-0.02104363319942102,-0.0297194653598648,5479,4,3,21,0.07229705744991713,1,1,sinal_sugestivo,P95_vs_P50,0.02036540023803626,0.05718835652156824,-0.0917237785442375,0.13245457902031002,0.6391212631763055,0.9049849677521016,0.02343018757939063,0.05814610011939918,1.0205741899548242,1.0205741899548242,0.9123571273565431,1.1416271610874438
baia_da_ilha_grande_internacoes_i60_i64_temp_med,Baia da Ilha Grande,internacoes_i60_i64,temp_med,1.3499923967641558,0.9021524723673916,2.0201457371596554,0.894825328506582,0.6183113126944157,1.2949987362315067,22.827219202898547,18.35,22.827219202898547,27.87374999999999,0.06141979737071128,Wald HAC,quasipoisson,1.0453905053610144,FALSE,FALSE,FALSE,1.802548655667202e-4,40.96327383277239,-0.03666632643899181,-0.04013836122650889,-0.01317548695877233,5844,4,3,21,0.1340068306270064,1,1,evidencia_insuficiente,P05_vs_P50,0.1708802975687586,0.12089652179460332,-0.06607688514866392,0.4078374802861811,0.921237190509334,0.265958951330745,0.1026368208236652,0.1494490312625595,1.1863487316944876,1.1863487316944876,0.9360588924977654,1.5035627827193356
baia_da_ilha_grande_internacoes_i60_i64_temp_med,Baia da Ilha Grande,internacoes_i60_i64,temp_med,1.3499923967641558,0.9021524723673916,2.0201457371596554,0.894825328506582,0.6183113126944157,1.2949987362315067,22.827219202898547,18.35,22.827219202898547,27.87374999999999,0.06141979737071128,Wald HAC,quasipoisson,1.0453905053610144,FALSE,FALSE,FALSE,1.802548655667202e-4,40.96327383277239,-0.03666632643899181,-0.04013836122650889,-0.01317548695877233,5844,4,3,21,0.1340068306270064,1,1,evidencia_insuficiente,P95_vs_P50,-0.10388097334621374,9.99985942005213e-4,-0.10584094579254397,-0.10192100089988353,0,1,-0.10388076961992154,0.001,0.9013325736369022,0.9013325736369022,0.8995677167280242,0.903100893008751
