macro_regiao,estacao,exposicao,outcome,contrast,n_extreme,n_ref,mw_U,mw_p,cliffs_delta,mean_diff,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
Baixada Litoranea,verao,ur_med,internacoes_i60_i69,P05_vs_P50,35,78,1649.0,0.07070983365448222,0.20805860805860807,0.5069597069597069,0.4127925424153557,1.0,False,False,False
Baixada Litoranea,verao,ur_med,internacoes_i60_i69,P95_vs_P50,74,78,2827.5,0.8251190151284299,-0.02027027027027027,-0.03049203049203042,1.0,1.0,False,False,False
Baixada Litoranea,verao,ur_med,internacoes_i60_i64,P05_vs_P50,35,78,1595.0,0.1425123224404669,0.1684981684981685,0.38681318681318677,0.6035816009243304,1.0,False,False,False
Baixada Litoranea,verao,ur_med,internacoes_i60_i64,P95_vs_P50,74,78,2814.5,0.7865010143054869,-0.024774774774774775,-0.04677754677754664,1.0,1.0,False,False,False
Baixada Litoranea,verao,ur_med,obitos_i60_i69,P05_vs_P50,35,78,1187.5,0.24661266881977228,-0.13003663003663005,-0.2582417582417583,0.8195128686933972,1.0,False,False,False
Baixada Litoranea,verao,ur_med,obitos_i60_i69,P95_vs_P50,74,78,2584.0,0.24062098495937012,-0.10464310464310464,-0.22349272349272353,0.8249862341464119,1.0,False,False,False
Baixada Litoranea,verao,ur_med,obitos_i60_i64,P05_vs_P50,35,78,1225.5,0.34280010028936847,-0.1021978021978022,-0.17216117216117222,0.7877108687500383,1.0,False,False,False
Baixada Litoranea,verao,ur_med,obitos_i60_i64,P95_vs_P50,74,78,2700.5,0.45360149030288677,-0.06427581427581427,-0.12196812196812201,0.8303213720798606,1.0,False,False,False
Baixada Litoranea,inverno,temp_med,internacoes_i60_i69,P05_vs_P50,167,40,3637.0,0.3703650564404968,0.08892215568862276,0.20029940119760492,0.7692197326071857,1.0,False,False,False
Baixada Litoranea,inverno,temp_med,internacoes_i60_i64,P05_vs_P50,167,40,3710.0,0.2638490934187272,0.11077844311377245,0.2534431137724551,0.7915472802561816,1.0,False,False,False
Baixada Litoranea,inverno,temp_med,obitos_i60_i69,P05_vs_P50,167,40,3210.0,0.6888648261571894,-0.038922155688622756,-0.19715568862275434,0.9919653496663526,1.0,False,False,False
Baixada Litoranea,inverno,temp_med,obitos_i60_i64,P05_vs_P50,167,40,3425.5,0.7827935283845331,0.02559880239520958,-0.02934131736526946,1.0,1.0,False,False,False
Baixada Litoranea,inverno,ur_med,internacoes_i60_i69,P05_vs_P50,93,75,3833.0,0.25723467304340786,0.09906810035842294,0.33462365591397836,0.8170983731967073,1.0,False,False,False
Baixada Litoranea,inverno,ur_med,internacoes_i60_i69,P95_vs_P50,25,75,737.0,0.09898152748072982,-0.21386666666666668,-0.45333333333333337,0.47511133190750315,1.0,False,False,False
Baixada Litoranea,inverno,ur_med,internacoes_i60_i64,P05_vs_P50,93,75,3920.0,0.15481364525595903,0.12401433691756272,0.3870967741935485,0.6079954068234027,1.0,False,False,False
Baixada Litoranea,inverno,ur_med,internacoes_i60_i64,P95_vs_P50,25,75,803.5,0.26889506917075146,-0.14293333333333333,-0.2933333333333332,0.7744177992117642,1.0,False,False,False
Baixada Litoranea,inverno,ur_med,obitos_i60_i69,P05_vs_P50,93,75,3637.5,0.6106637133938717,0.043010752688172046,0.06881720430107519,0.9288969161484245,1.0,False,False,False
Baixada Litoranea,inverno,ur_med,obitos_i60_i69,P95_vs_P50,25,75,1070.0,0.2625955699395218,0.14133333333333334,0.41333333333333333,0.8102949015276674,1.0,False,False,False
Baixada Litoranea,inverno,ur_med,obitos_i60_i64,P05_vs_P50,93,75,3769.5,0.30921165724884514,0.08086021505376344,0.0929032258064516,0.795115690068459,1.0,False,False,False
Baixada Litoranea,inverno,ur_med,obitos_i60_i64,P95_vs_P50,25,75,1050.5,0.3040289509814267,0.12053333333333334,0.28,0.8107438692838046,1.0,False,False,False
Centro-Sul,verao,temp_med,internacoes_i60_i69,P95_vs_P50,170,13,1248.0,0.4231619210001526,0.12941176470588237,0.40316742081447976,0.8017804818950259,1.0,False,False,False
Centro-Sul,verao,temp_med,internacoes_i60_i64,P95_vs_P50,170,13,1273.0,0.3454535172071844,0.1520361990950226,0.4334841628959276,0.7854522075447562,1.0,False,False,False
Centro-Sul,verao,temp_med,obitos_i60_i69,P95_vs_P50,170,13,1064.0,0.8045222350300145,-0.037104072398190045,-0.2045248868778281,1.0,1.0,False,False,False
Centro-Sul,verao,temp_med,obitos_i60_i64,P95_vs_P50,170,13,1005.0,0.5036322879996424,-0.09049773755656108,-0.17963800904977373,0.8772949532896996,1.0,False,False,False
