macro_regiao,exposicao,outcome,contrast,n_extreme_months,n_ref_months,median_extreme,median_ref,mw_U,mw_p,cliffs_delta,mean_diff,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
Centro-Sul,ur_med,obitos_i60_i69,P05_vs_P50,10,9,17.5,15.0,52.0,0.5939879382362472,0.15555555555555556,1.3444444444444432,0.8069270104341472,1.0,False,False,False
Centro-Sul,ur_med,obitos_i60_i69,P95_vs_P50,10,9,17.5,15.0,54.5,0.45926439634748184,0.2111111111111111,1.7444444444444454,0.8266759134254673,1.0,False,False,False
Medio Paraiba,temp_med,internacoes_i60_i69,P05_vs_P50,10,10,200.0,119.5,76.0,0.053902557169387175,0.52,61.0,0.3234153430163231,1.0,False,False,False
Medio Paraiba,temp_med,internacoes_i60_i69,P95_vs_P50,10,10,93.5,119.5,42.0,0.5707503880581739,-0.16,-6.099999999999994,0.8057652537291867,1.0,False,False,False
Medio Paraiba,temp_med,obitos_i60_i69,P05_vs_P50,10,10,54.0,43.0,84.0,0.011024030971738473,0.68,8.700000000000003,0.2645767433217234,0.7937302299651701,False,False,False
Medio Paraiba,temp_med,obitos_i60_i69,P95_vs_P50,10,10,47.0,43.0,61.0,0.425960337314758,0.22,3.200000000000003,0.8070827443858574,1.0,False,False,False
Medio Paraiba,ur_med,internacoes_i60_i69,P05_vs_P50,10,7,103.5,184.0,21.0,0.19323323735088443,-0.4,-33.21428571428572,0.5796997120526534,1.0,False,False,False
Medio Paraiba,ur_med,internacoes_i60_i69,P95_vs_P50,10,7,132.0,184.0,27.5,0.4942599854317692,-0.21428571428571427,-13.214285714285722,0.8087890670701678,1.0,False,False,False
Medio Paraiba,ur_med,obitos_i60_i69,P05_vs_P50,10,7,49.0,50.0,39.0,0.7291437928677689,0.11428571428571428,1.1285714285714334,0.8898025946860908,1.0,False,False,False
Medio Paraiba,ur_med,obitos_i60_i69,P95_vs_P50,10,7,51.5,50.0,47.5,0.2407000717634954,0.35714285714285715,8.728571428571428,0.6418668580359878,1.0,False,False,False
Metropolitana I,temp_med,internacoes_i60_i69,P05_vs_P50,10,9,714.5,700.0,52.0,0.5956108994757296,0.15555555555555556,26.977777777777874,0.7941478659676396,1.0,False,False,False
Metropolitana I,temp_med,internacoes_i60_i69,P95_vs_P50,10,9,659.5,700.0,43.0,0.9025232501776794,-0.044444444444444446,56.87777777777785,0.9698757315342227,1.0,False,False,False
Metropolitana I,temp_med,obitos_i60_i69,P05_vs_P50,10,9,553.0,500.0,80.0,0.004792989711470828,0.7777777777777778,46.03333333333336,0.17254762961294978,0.34509525922589956,False,False,False
Metropolitana I,temp_med,obitos_i60_i69,P95_vs_P50,10,9,503.5,500.0,53.0,0.5399356442033612,0.17777777777777778,0.4333333333333371,0.77750732765284,1.0,False,False,False
Metropolitana I,ur_med,internacoes_i60_i69,P05_vs_P50,10,11,679.0,643.0,60.0,0.7513343125576336,0.09090909090909091,10.454545454545496,0.8868208279368791,1.0,False,False,False
Metropolitana I,ur_med,internacoes_i60_i69,P95_vs_P50,10,11,767.0,643.0,68.0,0.3787382518865303,0.23636363636363636,99.65454545454554,0.7370041658332482,1.0,False,False,False
Metropolitana I,ur_med,obitos_i60_i69,P05_vs_P50,10,11,474.0,484.0,45.0,0.5033760993250637,-0.18181818181818182,-12.118181818181824,0.8054017589201019,1.0,False,False,False
Metropolitana I,ur_med,obitos_i60_i69,P95_vs_P50,10,11,479.0,484.0,58.5,0.8326358146750245,0.06363636363636363,-11.118181818181824,0.9223042870246424,1.0,False,False,False
Metropolitana II,temp_med,internacoes_i60_i69,P05_vs_P50,10,10,141.5,187.5,39.5,0.4493506977638877,-0.21,-54.89999999999998,0.8295705189487157,1.0,False,False,False
Metropolitana II,temp_med,internacoes_i60_i69,P95_vs_P50,10,10,218.0,187.5,57.0,0.6230455308379078,0.14,21.200000000000017,0.8156232403696249,1.0,False,False,False
Metropolitana II,temp_med,obitos_i60_i69,P05_vs_P50,10,10,104.0,104.0,49.5,1.0,-0.01,0.7999999999999972,1.0,1.0,False,False,False
Metropolitana II,temp_med,obitos_i60_i69,P95_vs_P50,10,10,85.5,104.0,25.0,0.06382218419183608,-0.5,-22.89999999999999,0.3534767124470921,1.0,False,False,False
Metropolitana II,ur_med,internacoes_i60_i69,P05_vs_P50,10,14,253.0,177.5,110.5,0.019146334633756774,0.5785714285714286,65.67142857142858,0.19693372766149825,1.0,False,False,False
Metropolitana II,ur_med,internacoes_i60_i69,P95_vs_P50,10,14,129.0,177.5,27.5,0.013901330505498523,-0.6071428571428571,-49.02857142857141,0.20017915927917876,1.0,False,False,False
Metropolitana II,ur_med,obitos_i60_i69,P05_vs_P50,10,14,79.5,100.0,27.5,0.013777257151662529,-0.6071428571428571,-31.714285714285708,0.24799062872992553,0.9919625149197021,False,False,False
Metropolitana II,ur_med,obitos_i60_i69,P95_vs_P50,10,14,88.5,100.0,34.0,0.03727437409993384,-0.5142857142857142,-15.414285714285711,0.24397772138138513,1.0,False,False,False
Noroeste,temp_med,internacoes_i60_i69,P05_vs_P50,10,9,58.0,55.0,49.0,0.7746663677213794,0.08888888888888889,2.2222222222222214,0.8996125560635374,1.0,False,False,False
Noroeste,temp_med,internacoes_i60_i69,P95_vs_P50,10,9,48.5,55.0,40.5,0.7437544885599874,-0.1,-1.7777777777777786,0.8925053862719848,1.0,False,False,False
Noroeste,temp_med,obitos_i60_i69,P05_vs_P50,10,9,18.5,19.0,44.0,0.967335159800279,-0.022222222222222223,-0.1999999999999993,0.994973307223144,1.0,False,False,False
Noroeste,temp_med,obitos_i60_i69,P95_vs_P50,10,9,21.5,19.0,54.0,0.48690309777915997,0.2,1.5,0.8346910247642741,1.0,False,False,False
Noroeste,ur_med,internacoes_i60_i69,P05_vs_P50,10,15,59.0,49.0,116.5,0.022766018436112527,0.5533333333333333,12.166666666666664,0.18212814748890022,1.0,False,False,False
Noroeste,ur_med,internacoes_i60_i69,P95_vs_P50,10,15,58.5,49.0,101.5,0.14877062433001326,0.35333333333333333,10.966666666666661,0.5355742475880477,1.0,False,False,False
Noroeste,ur_med,obitos_i60_i69,P05_vs_P50,10,15,24.0,17.0,117.0,0.021011236717679734,0.56,5.266666666666666,0.1891011304591176,1.0,False,False,False
Noroeste,ur_med,obitos_i60_i69,P95_vs_P50,10,15,17.5,17.0,82.0,0.7175988912130007,0.09333333333333334,1.1666666666666643,0.8908124166782078,1.0,False,False,False
Norte,temp_med,internacoes_i60_i69,P05_vs_P50,10,8,77.5,71.0,48.0,0.5049403898598952,0.2,4.549999999999997,0.7903414797807055,1.0,False,False,False
Norte,temp_med,internacoes_i60_i69,P95_vs_P50,10,8,53.0,71.0,22.5,0.1301230197664795,-0.4375,-18.549999999999997,0.49309775911508025,1.0,False,False,False
Norte,temp_med,obitos_i60_i69,P05_vs_P50,10,8,41.5,37.5,54.0,0.22960863024726452,0.35,7.850000000000001,0.6612728551121217,1.0,False,False,False
Norte,temp_med,obitos_i60_i69,P95_vs_P50,10,8,46.5,37.5,52.0,0.30637501832228387,0.3,4.75,0.7353000439734813,1.0,False,False,False
Norte,ur_med,internacoes_i60_i69,P05_vs_P50,10,12,63.0,71.5,50.0,0.5310451014658126,-0.16666666666666666,-15.233333333333334,0.796567652198719,1.0,False,False,False
Norte,ur_med,internacoes_i60_i69,P95_vs_P50,10,12,60.5,71.5,45.5,0.35566630472382665,-0.24166666666666667,-22.03333333333333,0.775999210306531,1.0,False,False,False
Norte,ur_med,obitos_i60_i69,P05_vs_P50,10,12,40.0,36.0,67.5,0.6440178815155048,0.125,5.7166666666666615,0.8134962713880061,1.0,False,False,False
Norte,ur_med,obitos_i60_i69,P95_vs_P50,10,12,41.0,36.0,74.0,0.37297286876483515,0.23333333333333334,8.316666666666663,0.7459457375296703,1.0,False,False,False
Serrana,temp_med,internacoes_i60_i69,P05_vs_P50,10,6,191.5,128.0,37.0,0.49225774225774227,0.23333333333333334,-4.066666666666663,0.8242455219199406,1.0,False,False,False
Serrana,temp_med,internacoes_i60_i69,P95_vs_P50,10,6,134.5,128.0,28.0,0.8748751248751249,-0.06666666666666667,-63.96666666666667,0.9544092271364999,1.0,False,False,False
Serrana,temp_med,obitos_i60_i69,P05_vs_P50,10,6,64.5,46.5,52.5,0.016859754704351346,0.75,14.333333333333336,0.20231705645221618,1.0,False,False,False
Serrana,temp_med,obitos_i60_i69,P95_vs_P50,10,6,40.5,46.5,16.5,0.15791281698441162,-0.45,-12.766666666666666,0.5414153725179828,1.0,False,False,False
Serrana,ur_med,internacoes_i60_i69,P05_vs_P50,10,9,176.5,157.0,58.0,0.3072219093749885,0.28888888888888886,52.24444444444447,0.7135476604838442,1.0,False,False,False
Serrana,ur_med,internacoes_i60_i69,P95_vs_P50,10,9,153.0,157.0,46.5,0.9348682804354427,0.03333333333333333,6.044444444444451,0.9755147274108966,1.0,False,False,False
Serrana,ur_med,obitos_i60_i69,P05_vs_P50,10,9,53.5,43.0,58.0,0.30615788500855734,0.28888888888888886,2.0,0.7601161282971078,1.0,False,False,False
Serrana,ur_med,obitos_i60_i69,P95_vs_P50,10,9,52.5,43.0,56.5,0.36742122569966984,0.25555555555555554,4.899999999999999,0.7558379500107494,1.0,False,False,False
