macro_regiao,exposicao,outcome,contrast,ext_days,ref_days,ext_pct_events,ref_pct_events,chi2,chi_p,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
Baixada Litoranea,temp_med,internacoes_i60_i64,P95_vs_P50,234,240,79.5,70.8,4.294049279075048,0.038245973809676606,0.5006745662357664,1.0,False,False,False
Baixada Litoranea,temp_med,internacoes_i60_i64,P01_vs_P50,59,240,69.5,70.8,0.0018653178833276155,0.9655506137409701,1.0,1.0,False,False,False
Baixada Litoranea,temp_med,internacoes_i60_i64,P99_vs_P50,59,240,79.7,70.8,1.4371908465225691,0.23059446399117353,0.9624812410066375,1.0,False,False,False
Baixada Litoranea,temp_med,obitos_i60_i69,P05_vs_P50,234,240,65.4,61.3,0.7028988910993237,0.40181133590332874,1.0,1.0,False,False,False
Baixada Litoranea,temp_med,obitos_i60_i69,P95_vs_P50,234,240,57.3,61.3,0.6231344916308392,0.4298848687267113,1.0,1.0,False,False,False
Baixada Litoranea,temp_med,obitos_i60_i69,P01_vs_P50,59,240,66.1,61.3,0.29025083944055474,0.5900598313107497,1.0,1.0,False,False,False
Baixada Litoranea,temp_med,obitos_i60_i69,P99_vs_P50,59,240,54.2,61.3,0.6994293165564605,0.4029755186074756,1.0,1.0,False,False,False
Baixada Litoranea,temp_med,obitos_i60_i64,P05_vs_P50,234,240,47.0,44.2,0.27971560698668196,0.5968876785606425,1.0,1.0,False,False,False
Baixada Litoranea,temp_med,obitos_i60_i64,P95_vs_P50,234,240,40.6,44.2,0.4802480798318925,0.48830996814458827,1.0,1.0,False,False,False
Baixada Litoranea,temp_med,obitos_i60_i64,P01_vs_P50,59,240,50.8,44.2,0.6043005401930709,0.4369418636433814,1.0,1.0,False,False,False
Baixada Litoranea,temp_med,obitos_i60_i64,P99_vs_P50,59,240,40.7,44.2,0.11406603107344607,0.7355616685020039,1.0,1.0,False,False,False
Baixada Litoranea,ur_med,internacoes_i60_i69,P05_vs_P50,234,303,82.5,74.9,3.9970789177043944,0.045579191954693024,0.5048772031904458,1.0,False,False,False
