macro_regiao,outcome,exposure,rr_stan,rr_stan_lower,rr_stan_upper,prob_rr_gt_1_stan,prob_rr_gt_110_stan
Baia da Ilha Grande,internacoes_i60_i69,temp_med,1.1559857392854993,0.9721173955651308,1.3897252065417764,0.9477620918020109,0.2890976884525052
Baia da Ilha Grande,internacoes_i60_i69,ur_med,0.9425715363241844,0.7749909484495627,1.1186708568009507,0.2617116838474587,0.9521775554734299
Baia da Ilha Grande,obitos_i60_i69,temp_med,1.2817353016730637,1.0900017989920685,1.57086046077611,0.9961599607312529,0.050275146685166604
Baia da Ilha Grande,obitos_i60_i69,ur_med,1.0968470408777415,0.9132040326041733,1.3208139411428246,0.8420128752737792,0.512420216830317
Baia da Ilha Grande,internacoes_i60_i64,temp_med,1.1265150477482817,0.9641610912250742,1.3620338129560616,0.9217645912560721,0.3884643460834173
Baia da Ilha Grande,internacoes_i60_i64,ur_med,0.9656587169672496,0.7993726652424065,1.1443573047653333,0.3426905959358304,0.9344917401300642
Baia da Ilha Grande,obitos_i60_i64,temp_med,1.3321363856504185,1.1115569789893613,1.6573337240458574,0.9980360004026758,0.027086427076634095
Baia da Ilha Grande,obitos_i60_i64,ur_med,1.0216257049084558,0.8323881366840719,1.2536544777202454,0.5839420865581438,0.7680279401042127
Baixada Litoranea,internacoes_i60_i69,temp_med,1.0881752537959515,0.9139650797797643,1.2777884111998872,0.8398103333336389,0.5505666265172842
Baixada Litoranea,internacoes_i60_i69,ur_med,0.9986027232791781,0.8537828591393634,1.1836420140832247,0.49330481060958714,0.877135183807251
Baixada Litoranea,obitos_i60_i69,temp_med,1.2652882186965217,1.0812334709238178,1.498060271064081,0.9980735385769749,0.04277467759678615
Baixada Litoranea,obitos_i60_i69,ur_med,1.1313316736667005,0.964148493209062,1.3706966612483729,0.9227826889035837,0.37292482458060955
Baixada Litoranea,internacoes_i60_i64,temp_med,1.0531597875934235,0.8957089386129911,1.2102483701153774,0.7495733955677214,0.7141470550180604
Baixada Litoranea,internacoes_i60_i64,ur_med,1.0218226306014477,0.8875498187187245,1.2018114007409844,0.6100227031398519,0.8299758855249608
Baixada Litoranea,obitos_i60_i64,temp_med,1.336892076180554,1.1424770770816841,1.6152617113674468,0.9992065647406454,0.01693755021415697
Baixada Litoranea,obitos_i60_i64,ur_med,1.057071884582946,0.8776411770734657,1.3212298685565522,0.7082839658031889,0.6529533050061296
Centro-Sul,internacoes_i60_i69,temp_med,1.1284354158992898,0.944185930759944,1.349668449309631,0.9156118354069857,0.3856530772087148
Centro-Sul,internacoes_i60_i69,ur_med,0.9707432608376189,0.8236058777925191,1.1506828529538966,0.3605773494726508,0.9335229896024879
Centro-Sul,obitos_i60_i69,temp_med,1.2615348304706455,1.071933201061287,1.5203142375292924,0.9966859564644045,0.05466749594798902
Centro-Sul,obitos_i60_i69,ur_med,1.102247418986957,0.9339550693282815,1.3071286808274032,0.8738396734639078,0.49042632825222793
Centro-Sul,internacoes_i60_i64,temp_med,1.0614056628719304,0.8908553488006027,1.2340311937686426,0.7585395727064874,0.6629368153582742
Centro-Sul,internacoes_i60_i64,ur_med,0.9639648398397708,0.8221151273095143,1.1201935688349083,0.32055061430477433,0.9532057486351269
Centro-Sul,obitos_i60_i64,temp_med,1.3042727962818566,1.087843485449623,1.6030930106914423,0.9969744501959786,0.039192919282521735
Centro-Sul,obitos_i60_i64,ur_med,1.0161917682539898,0.8343503697743138,1.2220971030568162,0.5665275150522138,0.7957739603124327
Medio Paraiba,internacoes_i60_i69,temp_med,1.0897450842484555,0.9129177269318541,1.2748690797856532,0.84701300385590506,0.5444163040419218
Medio Paraiba,internacoes_i60_i69,ur_med,0.9145463947774666,0.7535193626570525,1.065573393616519,0.15354014527321422,0.982620124781812
Medio Paraiba,obitos_i60_i69,temp_med,1.2673852536162948,1.0999052497519775,1.4673787141068673,0.9995072695146773,0.024450817968983844
Medio Paraiba,obitos_i60_i69,ur_med,1.0968048632505498,0.9341101213881898,1.2801656077956598,0.8817177990287408,0.5148617969356093
Medio Paraiba,internacoes_i60_i64,temp_med,1.0799344671284876,0.9475495899680301,1.2370457490276994,0.8797314390076361,0.6106328143459427
Medio Paraiba,internacoes_i60_i64,ur_med,0.8993723191628653,0.7582259931259169,1.035325404525941,0.09936891119743367,0.9926578576832381
Medio Paraiba,obitos_i60_i64,temp_med,1.2838656378872897,1.1027504322126043,1.516741455311028,0.9990567122921613,0.027288833229233905
Medio Paraiba,obitos_i60_i64,ur_med,1.0032264704104825,0.8323143331078068,1.1975859837199414,0.5143265550442805,0.8477529856847392
Metropolitana I,internacoes_i60_i69,temp_med,1.1734327891678764,0.9981206438515748,1.4309698305095755,0.9598393748834663,0.23989620530980152
Metropolitana I,internacoes_i60_i69,ur_med,0.9390934634508814,0.7575321645142538,1.1298861471838262,0.25663902489827223,0.9500435483535148
Metropolitana I,obitos_i60_i69,temp_med,1.218691650831097,1.135219136459289,1.3022440842247633,0.9999999925297818,0.0016753847663751288
Metropolitana I,obitos_i60_i69,ur_med,1.1090613667322478,1.0168764964688737,1.2150937792550258,0.9872627948106015,0.4297294459649287
Metropolitana I,internacoes_i60_i64,temp_med,1.0943364693930484,1.0081466342959637,1.1941322821773699,0.98303726463813,0.548331815123555
Metropolitana I,internacoes_i60_i64,ur_med,0.9776621523879632,0.8881522214073203,1.074472994064659,0.321805656122206,0.9921229616515287
Metropolitana I,obitos_i60_i64,temp_med,1.2461173167189978,1.1485710032531913,1.3543875673778378,0.9999998139232849,0.001981800541963152
Metropolitana I,obitos_i60_i64,ur_med,1.002919211608415,0.8978010120096049,1.1205776343793337,0.5206366795691686,0.9495354066851304
Metropolitana II,internacoes_i60_i69,temp_med,1.126466070474244,0.9796004616209041,1.3063868189146624,0.9473049688303646,0.37324024859039046
Metropolitana II,internacoes_i60_i69,ur_med,1.026892074121297,0.9038737591355057,1.174225920859572,0.6528491141918125,0.8457959475290467
Metropolitana II,obitos_i60_i69,temp_med,1.197112372460132,1.028139265435623,1.3632561802205831,0.9937625559773169,0.12002567165585644
Metropolitana II,obitos_i60_i69,ur_med,1.0481511415193614,0.9034082254471982,1.190462064850614,0.7451209489294451,0.7507337885866658
Metropolitana II,internacoes_i60_i64,temp_med,1.063075044749939,0.9255995702741877,1.2075368733198588,0.8189818323489323,0.6945613068929092
Metropolitana II,internacoes_i60_i64,ur_med,1.038098697374907,0.9345975029632219,1.1761151405123411,0.7369045166173642,0.8369055534476357
Metropolitana II,obitos_i60_i64,temp_med,1.2489357998643271,1.0593220481894885,1.4680679214335046,0.9972704831084064,0.056227482694716314
Metropolitana II,obitos_i60_i64,ur_med,1.007621843915236,0.8570337290281517,1.1757005261313467,0.5370706274085147,0.8588195924176707
Noroeste,internacoes_i60_i69,temp_med,1.2516700456032743,1.0500011779868157,1.5745825564199738,0.9829257649425673,0.11143903334162947
Noroeste,internacoes_i60_i69,ur_med,0.938692267485196,0.7931992288176694,1.0927272138343274,0.22486757009854844,0.9709223700668919
Noroeste,obitos_i60_i69,temp_med,1.2750113110552754,1.082229097962565,1.552465244639216,0.9972288964099322,0.045937171683912446
Noroeste,obitos_i60_i69,ur_med,1.0714287070847253,0.9016250256844286,1.2616943407796328,0.7978855140034363,0.6248190185030267
Noroeste,internacoes_i60_i64,temp_med,1.2459435038060473,1.0466572804661356,1.5598556351491726,0.9786625961483513,0.125411846329589
Noroeste,internacoes_i60_i64,ur_med,0.9604643357822154,0.8202268240038618,1.1074486385400093,0.3013070347291722,0.9600103597078538
Noroeste,obitos_i60_i64,temp_med,1.3473355499282296,1.1408503305365467,1.678207221835099,0.9986371888920085,0.020727856117992296
Noroeste,obitos_i60_i64,ur_med,0.9883186903727408,0.8065109752454954,1.1807633562245103,0.4501768108382604,0.873041651285147
Norte,internacoes_i60_i69,temp_med,1.0644382072558662,0.8746305078144644,1.2528239699011978,0.7544520861191728,0.6414587348513241
Norte,internacoes_i60_i69,ur_med,0.9385030973915977,0.7768274226275654,1.1124369361648905,0.23733269411433466,0.9631500232720327
Norte,obitos_i60_i69,temp_med,1.2948559712298091,1.1259225978115603,1.5271029348038772,0.9995445890113456,0.01815890867790246
Norte,obitos_i60_i69,ur_med,1.1028365218054152,0.9408540923475587,1.2932774125083994,0.8868517716028053,0.4873024094886458
Norte,internacoes_i60_i64,temp_med,1.0539384752363303,0.908494314493646,1.2013308526173407,0.7781587258063418,0.7335910867669554
Norte,internacoes_i60_i64,ur_med,1.0097007945165417,0.8790762346150368,1.1724461489883624,0.5525346659573095,0.879357333542778
Norte,obitos_i60_i64,temp_med,1.3043780633467543,1.1095593289715922,1.543989688993383,0.999440436236265,0.018313643496064513
Norte,obitos_i60_i64,ur_med,1.0423247157798876,0.8666993610568116,1.2697082162655529,0.6694938357573473,0.7155670178589449
Serrana,internacoes_i60_i69,temp_med,1.207698328045712,0.9963889430293293,1.542782176055935,0.9584609091309862,0.19549971406811117
Serrana,internacoes_i60_i69,ur_med,0.931104604256265,0.7653090416957798,1.1024693932449308,0.21627108124732777,0.9665812507984565
Serrana,obitos_i60_i69,temp_med,1.2059826779194451,1.0215621347536559,1.3805808591720692,0.993924115976084,0.10905122835242353
Serrana,obitos_i60_i69,ur_med,1.0763751974760714,0.9161368161396832,1.2561418139306124,0.8253308514312663,0.6087545437815108
Serrana,internacoes_i60_i64,temp_med,1.1046503167462012,0.9575750752397171,1.2773241655015102,0.9131274475128563,0.4770110799332716
Serrana,internacoes_i60_i64,ur_med,0.9786397304630771,0.842128121796778,1.1321916561141252,0.3855957723393433,0.9423187575250463
Serrana,obitos_i60_i64,temp_med,1.2903348943805317,1.1057271415812477,1.5306182450089898,0.9991979515137206,0.024110454060596545
Serrana,obitos_i60_i64,ur_med,1.0202314207354526,0.8524688253761947,1.2097722133416213,0.5872354057709035,0.7963116933765936
