modelo_id,macro_regiao,outcome,exposure,rr_p05,rr_p05_low,rr_p05_high,rr_p95,rr_p95_low,rr_p95_high,cen,p05_val,p50_val,p95_val,p_association,p_method,family,dispersion,alerta_convergencia,rr_explosivo,modelo_invalido,lb_pvalue,lb_statistic,acf_lag1,acf_lag7,acf_lag14,n_obs,df_exp,df_lag,lag_max,p_fdr_p05,p_p05,p_p95,classificacao
baia_da_ilha_grande_internacoes_i60_i69_temp_med,Baia da Ilha Grande,internacoes_i60_i69,temp_med,1.2813573311409245,0.86628545810776,1.8953066736857942,0.9183709737059049,0.6414153980780529,1.3149126882091147,22.827219202898547,18.35,22.827219202898547,27.873749999999994,0.07724964246412044,Wald HAC,quasipoisson,1.046119291700157,FALSE,FALSE,FALSE,7.630147762716089e-5,43.314158306526025,-0.039898900146493096,-0.03614477459436315,-0.016789723868702137,5844,4,3,21,0.15032362857882897,1,1,evidencia_insuficiente
baia_da_ilha_grande_internacoes_i60_i69_ur_med,Baia da Ilha Grande,internacoes_i60_i69,ur_med,0.8474092963665959,0.5384981481872028,1.3335282915752742,1.0994006343193343,0.721895025533964,1.6743178883214067,81.375,69.68966131907308,81.375,91.1875,0.06523382556148186,Wald HAC,quasipoisson,1.0465531354302706,FALSE,FALSE,FALSE,3.8200489036133156e-5,45.17563989422558,-0.0395574467889922,-0.03611156169993061,-0.016724228370866182,5844,4,3,21,0.13419529829790552,1,1,evidencia_insuficiente
baia_da_ilha_grande_obitos_i60_i69_temp_med,Baia da Ilha Grande,obitos_i60_i69,temp_med,1.6626066970342728,0.9890799375939182,2.79478020325403,1.2750842071594208,0.7577826993594075,2.145522372999244,22.8375,18.35,22.8375,27.83791666666666,0.07417112758418841,Wald HAC,quasipoisson,0.9834113587906151,FALSE,FALSE,FALSE,0.06340748347999414,22.811468096504544,-0.008105551476119317,-0.020878262968695493,-0.029515411428943667,5479,4,3,21,0.14834225516837682,1,1,evidencia_insuficiente
baia_da_ilha_grande_obitos_i60_i69_ur_med,Baia da Ilha Grande,obitos_i60_i69,ur_med,1.1773440141622025,0.6200879747188657,2.235390757758225,0.932042961227613,0.5013240319612143,1.7328195462234417,81.47916666666667,69.75,81.47916666666667,91.20083333333332,0.026567225094904893,Wald HAC,quasipoisson,0.9778008123488657,FALSE,FALSE,FALSE,0.05179874054232836,23.556294423043248,-0.009757295486054352,-0.021043633199421024,-0.0297194653598648,5479,4,3,21,0.07229705744991713,1,1,sinal_sugestivo
baia_da_ilha_grande_internacoes_i60_i64_temp_med,Baia da Ilha Grande,internacoes_i60_i64,temp_med,1.3499923967641558,0.9021524723673915,2.0201457371596554,0.894825328506582,0.6183113126944157,1.2949987362315067,22.827219202898547,18.35,22.827219202898547,27.873749999999994,0.06141979737071128,Wald HAC,quasipoisson,1.0453905053610144,FALSE,FALSE,FALSE,1.802548655667202e-4,40.96327383277239,-0.03666632643899181,-0.04013836122650889,-0.013175486958772336,5844,4,3,21,0.1340068306270064,1,1,evidencia_insuficiente
baia_da_ilha_grande_internacoes_i60_i64_ur_med,Baia da Ilha Grande,internacoes_i60_i64,ur_med,0.8540948905904385,0.5357099613912492,1.3617034117458342,1.1734632682205142,0.7631580215554188,1.8043655481157446,81.375,69.68966131907308,81.375,91.1875,0.04693620946214158,Wald HAC,quasipoisson,1.0450543624178366,FALSE,FALSE,FALSE,8.132182170261792e-5,43.14140627872575,-0.036557334800899975,-0.04005132728241898,-0.013477546094204821,5844,4,3,21,0.11653127866462738,1,1,evidencia_insuficiente
baia_da_ilha_grande_obitos_i60_i64_temp_med,Baia da Ilha Grande,obitos_i60_i64,temp_med,1.980734036269787,1.0235993450488907,3.832854467340647,1.2555220811052499,0.643245716341556,2.4505964922832715,22.8375,18.35,22.8375,27.83791666666666,0.11164367669132373,Wald HAC,quasipoisson,1.009532916166854,FALSE,FALSE,FALSE,0.0016596690909707057,34.64307980255792,-0.021058880678695865,-0.03289701683480839,-0.024722679733816626,5479,4,3,21,0.19605718833598315,0.11164367669132373,1,evidencia_insuficiente
baia_da_ilha_grande_obitos_i60_i64_ur_med,Baia da Ilha Grande,obitos_i60_i64,ur_med,1.1830617053264636,0.5171707506193035,2.706330543507962,0.9042167818170925,0.4052759130427872,2.01741076192046,81.47916666666667,69.75,81.47916666666667,91.20083333333332,0.055980292690554004,Wald HAC,quasipoisson,1.0040016717043776,FALSE,FALSE,FALSE,0.001723881214006573,34.53109905013906,-0.02311955503486332,-0.03302592775557121,-0.022034620795912365,5479,4,3,21,0.1300187443135448,1,1,evidencia_insuficiente
baixada_litoranea_internacoes_i60_i69_temp_med,Baixada Litoranea,internacoes_i60_i69,temp_med,0.9249922880187372,0.7037304498821745,1.215821672967815,0.9840851293399964,0.7362512853155608,1.3153437706706976,23.345833333333335,19.770833333333332,23.345833333333335,26.987499999999997,0.18140770241953985,Wald HAC,quasipoisson,1.0325241555807603,FALSE,FALSE,FALSE,0.01056649387589037,28.964507973161318,-0.01832926722505428,0.0033425678824137717,-6.266243034234754e-4,5844,4,3,21,0.2839424907436276,1,1,evidencia_insuficiente
baixada_litoranea_internacoes_i60_i69_ur_med,Baixada Litoranea,internacoes_i60_i69,ur_med,1.1488043883741583,0.879919360220751,1.4998550803753532,1.0473001914592692,0.7995904821756676,1.3717493085287251,80.08333333333333,67.4223484848485,80.08333333333333,89.23312499999999,0.14085468822208855,Wald HAC,quasipoisson,1.0330884562261373,FALSE,FALSE,FALSE,0.013353076417520149,28.207235348858074,-0.016888352105455393,0.0018718636608238998,-7.207532112383605e-4,5844,4,3,21,0.24146517980929463,1,1,evidencia_insuficiente
baixada_litoranea_obitos_i60_i69_temp_med,Baixada Litoranea,obitos_i60_i69,temp_med,1.3215069573180835,0.9874822722077595,1.7685184710563318,0.9248467262440079,0.6775921185715515,1.2623249940501449,23.375,19.81625,23.375,26.92125,0.35099601041414424,Wald HAC,quasipoisson,1.0520596103646376,FALSE,FALSE,FALSE,0.43713552476643636,14.169846673888543,-0.0012024589693178484,-0.013697380625591763,-0.012759004437030501,5479,4,3,21,0.4182987646506703,1,1,evidencia_insuficiente
baixada_litoranea_obitos_i60_i69_ur_med,Baixada Litoranea,obitos_i60_i69,ur_med,1.3415106706886255,0.9401162711498232,1.9142854291526687,1.1709372278577033,0.8581026549844611,1.5978204747634899,80.3125,67.71369047619046,80.3125,89.41666666666667,0.16897980028333506,Wald HAC,quasipoisson,1.0487200008821178,FALSE,FALSE,FALSE,0.4351920576021606,14.196289809842279,-8.874733123130971e-4,-0.013825355693277601,-0.011663215167031647,5479,4,3,21,0.2703676804533361,1,1,evidencia_insuficiente
baixada_litoranea_internacoes_i60_i64_temp_med,Baixada Litoranea,internacoes_i60_i64,temp_med,0.917615602737515,0.6929650301483616,1.2150950737110926,0.9965024879633424,0.7399343127985365,1.3420342743147016,23.345833333333335,19.770833333333332,23.345833333333335,26.987499999999997,0.06395383920018699,Wald HAC,quasipoisson,1.0289571159186748,FALSE,FALSE,FALSE,0.0068299491512459065,30.34912558706948,-0.020828497924664575,0.0013677290898795361,-0.006276198664879928,5844,4,3,21,0.13419529829790552,1,1,evidencia_insuficiente
baixada_litoranea_internacoes_i60_i64_ur_med,Baixada Litoranea,internacoes_i60_i64,ur_med,1.1739810621835665,0.8926631947372453,1.5439546992539963,1.063840977089461,0.8062892871411911,1.4036619890454707,80.08333333333333,67.4223484848485,80.08333333333333,89.23312499999999,0.27559339441051234,Wald HAC,quasipoisson,1.0298027504785836,FALSE,FALSE,FALSE,0.01050833629181458,28.98223524326461,-0.018476993148603862,6.857487545693417e-4,-0.006511864451967176,5844,4,3,21,0.36603446073788576,1,1,evidencia_insuficiente
baixada_litoranea_obitos_i60_i64_temp_med,Baixada Litoranea,obitos_i60_i64,temp_med,1.5771462100176459,1.088420687815303,2.2853205526309477,0.8934436047211127,0.5979908517700799,1.3348723855126299,23.375,19.81625,23.375,26.92125,0.20273492591357692,Wald HAC,quasipoisson,1.0745270185820037,FALSE,FALSE,FALSE,0.03627400164428962,24.830895540025587,0.00543252154653328,-0.03366390110137987,0.009818641963941737,5479,4,3,21,0.3041023888703654,0.20273492591357692,1,evidencia_insuficiente
baixada_litoranea_obitos_i60_i64_ur_med,Baixada Litoranea,obitos_i60_i64,ur_med,1.444668263041834,0.9166243075939773,2.2769049139866198,1.3403725818330015,0.900678580273149,1.99471675854089,80.3125,67.71369047619046,80.3125,89.41666666666667,0.24845916885178154,Wald HAC,quasipoisson,1.0711667552178843,FALSE,FALSE,FALSE,0.03944952740808305,24.534617517771455,0.006591671478916361,-0.03469337333743065,0.01017694962261079,5479,4,3,21,0.33752943693072207,1,1,evidencia_insuficiente
centro_sul_internacoes_i60_i69_temp_med,Centro-Sul,internacoes_i60_i69,temp_med,1.047393899030258,0.7000207054387042,1.567145044714489,0.9796211943003039,0.7306615614501477,1.3134092922826217,19.670833333333334,10.321041666666668,19.670833333333334,26.454166666666666,0.7423209199657115,Wald HAC,quasipoisson,1.4692174886723754,FALSE,FALSE,FALSE,0.025863411554391424,26.003103496080573,-0.014944853845489402,-0.011707966211706321,-0.017017057987646866,5844,4,3,21,0.7527761441905806,1,1,evidencia_insuficiente
centro_sul_internacoes_i60_i69_ur_med,Centro-Sul,internacoes_i60_i69,ur_med,1.02917493558715,0.7397663513791165,1.4318048476606007,1.0163992432983489,0.7340845802040012,1.40728663921856,80.95833333333333,63.25625,80.95833333333333,96.99374999999998,0.3819158155020553,Wald HAC,quasipoisson,1.4717780572470713,FALSE,FALSE,FALSE,0.02584085121849089,26.00608484914896,-0.015317702560143557,-0.0107498814954513,-0.01809562889567454,5844,4,3,21,0.443515140583032,1,1,evidencia_insuficiente
centro_sul_obitos_i60_i69_temp_med,Centro-Sul,obitos_i60_i69,temp_med,1.3759578690352336,0.8366434702905251,2.2629233653165843,0.7815216580639391,0.5239555729332109,1.1657020815787082,19.4,10.2,19.4,26.453063725490196,0.012665040500190437,Wald HAC,quasipoisson,1.0089388748113415,FALSE,FALSE,FALSE,5.464740946726776e-4,37.85704159216134,-0.014785023929580995,0.0018432579670946711,-0.052061170904987075,5479,4,3,21,0.04342299600065292,1,1,sinal_sugestivo
centro_sul_obitos_i60_i69_ur_med,Centro-Sul,obitos_i60_i69,ur_med,1.158469436659846,0.791811202344663,1.6949134234284389,0.9695495534243681,0.6486365777912634,1.4492342379863439,81.625,63.416666666666664,81.625,97.1708333333333,0.3543920089401512,Wald HAC,quasipoisson,1.0109398199563684,FALSE,FALSE,FALSE,9.319510942684683e-4,36.32717690550605,-0.014484271213803706,0.0019192691599926345,-0.051397153849475755,5479,4,3,21,0.4182987646506703,1,1,evidencia_insuficiente
centro_sul_internacoes_i60_i64_temp_med,Centro-Sul,internacoes_i60_i64,temp_med,0.8999356243456739,0.6250229836920796,1.2957669543324037,0.9186894169355256,0.7084601797118856,1.1913023045735154,19.670833333333334,10.321041666666668,19.670833333333334,26.454166666666666,0.7329314675094916,Wald HAC,quasipoisson,1.032386043285213,FALSE,FALSE,FALSE,0.018350794000505655,27.160169546673046,-0.023013079190122233,-0.012028518109013923,-0.016360321269281577,5844,4,3,21,0.7527761441905806,1,1,evidencia_insuficiente
centro_sul_internacoes_i60_i64_ur_med,Centro-Sul,internacoes_i60_i64,ur_med,0.9172693712168354,0.6859426390734322,1.2266085404882607,0.8266474994749867,0.616857165990763,1.107786576963395,80.95833333333333,63.25625,80.95833333333333,96.99374999999998,0.08418742117574848,Wald HAC,quasipoisson,1.0298490288308644,FALSE,FALSE,FALSE,0.021566801800882773,26.61939497652125,-0.024392335923360528,-0.010410095035435196,-0.017186627414454973,5844,4,3,21,0.15951300854352343,1,1,evidencia_insuficiente
centro_sul_obitos_i60_i64_temp_med,Centro-Sul,obitos_i60_i64,temp_med,1.3658724279275916,0.7499544875776181,2.4876276097750916,0.8405121803166609,0.5102343214520312,1.3845809573339016,19.4,10.2,19.4,26.453063725490196,0.22248066802426952,Wald HAC,quasipoisson,1.002575243856493,FALSE,FALSE,FALSE,0.13507904527996661,19.845781440664002,-0.006924566326596397,0.01900622147428764,-0.018272460228481332,5479,4,3,21,0.3203721619549481,1,1,evidencia_insuficiente
centro_sul_obitos_i60_i64_ur_med,Centro-Sul,obitos_i60_i64,ur_med,1.006462231868799,0.63206675930672,1.6026253702842916,0.8980292502063488,0.5512591122815153,1.462935516636573,81.625,63.416666666666664,81.625,97.1708333333333,0.15974697020210157,Wald HAC,quasipoisson,1.001713558192466,FALSE,FALSE,FALSE,0.09379727277194372,21.316301608847454,-0.008306388290014958,0.017753014444039917,-0.019465527626284566,5479,4,3,21,0.26140413305798443,1,1,evidencia_insuficiente
medio_paraiba_internacoes_i60_i69_temp_med,Medio Paraiba,internacoes_i60_i69,temp_med,0.9456896016574103,0.7255158392315015,1.2326799420812977,1.1380988302777861,0.9126157068968659,1.419292849872068,21.88294082125604,16.7378125,21.88294082125604,26.34375,0.022440393500299635,Wald HAC,negative_binomial,6.0977627588578995,FALSE,FALSE,FALSE,0.001857692174851766,34.310108779142425,-0.014619637171932475,-0.005875317022042224,0.008788848877166152,5844,4,3,21,0.0673211805008989,1,1,sinal_sugestivo
medio_paraiba_internacoes_i60_i69_ur_med,Medio Paraiba,internacoes_i60_i69,ur_med,0.7767826577402376,0.5827073531400335,1.035496281477304,0.8046576110169609,0.6076197918489011,1.0655904887451924,76.67708333333334,61.35416666666667,76.67708333333334,87.79166666666666,0.0010474392972345443,Wald HAC,negative_binomial,6.299001439028021,FALSE,FALSE,FALSE,0.0021688967446023,33.85026187356164,-0.014855948797037891,-0.006685256596410256,0.01188097082700874,5844,4,3,21,0.005801202261606707,1,1,sinal_sugestivo
medio_paraiba_obitos_i60_i69_temp_med,Medio Paraiba,obitos_i60_i69,temp_med,1.3020889976017749,1.0415145542966189,1.6278560397272583,1.0909618059878554,0.8842785365076098,1.3459533540471056,21.913888888888888,16.794583333333332,21.913888888888888,26.329541666666664,0.0011299508220944136,Wald HAC,quasipoisson,0.9850499046601867,FALSE,FALSE,FALSE,0.003949360921940759,32.043527519286414,-0.033035279473455414,5.736474935523378e-4,0.016263805671797044,5479,4,3,21,0.005811175656485556,0.0011299508220944136,1,sinal_sugestivo
medio_paraiba_obitos_i60_i69_ur_med,Medio Paraiba,obitos_i60_i69,ur_med,1.10903796754234,0.8611077659797683,1.4283522481660471,1.1604633164711236,0.8974583821437584,1.5005432404100532,76.85416666666667,61.45416666666666,76.85416666666667,87.875,1.0801545384655466e-6,Wald HAC,quasipoisson,0.9836405663669975,FALSE,FALSE,FALSE,0.0035915139298667853,32.33292994639687,-0.03323365742201889,7.754568699862272e-4,0.01746235630238206,5479,4,3,21,1.944278169237984e-5,1,1,sinal_sugestivo
medio_paraiba_internacoes_i60_i64_temp_med,Medio Paraiba,internacoes_i60_i64,temp_med,1.053119413164026,0.8700458489712233,1.2747150046107796,0.8421454353944782,0.7167583534331815,0.9894672743732033,21.88294082125604,16.7378125,21.88294082125604,26.34375,0.005489777555232519,Wald HAC,quasipoisson,1.031504880552486,FALSE,FALSE,FALSE,1.5562491298748427e-5,47.556557045079636,0.004850765230781004,0.0047984953631557805,-0.014060079232346841,5844,4,3,21,0.021959110220930077,1,0.005489777555232519,sinal_sugestivo
medio_paraiba_internacoes_i60_i64_ur_med,Medio Paraiba,internacoes_i60_i64,ur_med,0.7593988946266665,0.61726126873273,0.9342667527871483,1.039099801714382,0.8461957999378266,1.275979386806458,76.67708333333334,61.35416666666667,76.67708333333334,87.79166666666666,9.100167363387064e-4,Wald HAC,quasipoisson,1.031116438740218,FALSE,FALSE,FALSE,5.077649693929764e-6,50.47776526249058,0.004896724639130072,0.0037060520116625334,-0.014885234125354913,5844,4,3,21,0.005460100418032238,9.100167363387064e-4,1,sinal_sugestivo
medio_paraiba_obitos_i60_i64_temp_med,Medio Paraiba,obitos_i60_i64,temp_med,1.2492354989907297,0.9303495395292499,1.6774225875666735,1.0852131257609445,0.8210310392593873,1.4344007376215338,21.913888888888888,16.794583333333332,21.913888888888888,26.329541666666664,3.724976859846403e-4,Wald HAC,quasipoisson,1.011493966572328,FALSE,FALSE,FALSE,0.009043159523655309,29.462360841779066,-0.012496496102873617,-0.014848310844765622,0.022944058363377543,5479,4,3,21,0.003557061009090782,1,1,sinal_sugestivo
medio_paraiba_obitos_i60_i64_ur_med,Medio Paraiba,obitos_i60_i64,ur_med,0.9528274288866728,0.6809301317187615,1.3332940737211514,1.233189672086111,0.877370373599156,1.7333121941437222,76.85416666666667,61.45416666666666,76.85416666666667,87.875,8.823206249660032e-4,Wald HAC,quasipoisson,1.014924472402129,FALSE,FALSE,FALSE,0.010217488540599895,29.072299127646783,-0.011639156988579114,-0.013213289911335984,0.02327416994509828,5479,4,3,21,0.005460100418032238,1,1,sinal_sugestivo
metropolitana_i_internacoes_i60_i69_temp_med,Metropolitana I,internacoes_i60_i69,temp_med,1.3430331927017778,0.9593831579376051,1.8801019611145178,1.5479458196827234,1.1339600897131767,2.1130693067683675,23.440486111111113,18.95347644927536,23.440486111111113,28.231291666666664,0.027111396543718923,Wald HAC,quasipoisson,22.315412765710345,FALSE,FALSE,FALSE,0,138.85351239635904,0.051829254814796125,0.0325651501482132,0.032933477988988505,5844,4,3,21,0.07229705744991713,1,0.027111396543718923,sinal_sugestivo
metropolitana_i_internacoes_i60_i69_ur_med,Metropolitana I,internacoes_i60_i69,ur_med,0.8225500172528066,0.5277251024532789,1.2820851760457859,0.6913629468042434,0.4682840156785103,1.0207111671776454,77.30376984126984,62.48234126984127,77.30376984126984,88.96423611111112,0.7142317005295964,Wald HAC,quasipoisson,22.4268250474462,FALSE,FALSE,FALSE,0,136.0077562679993,0.052610710237083226,0.026992151715612398,0.03671956302207097,5844,4,3,21,0.7527761441905806,1,1,evidencia_insuficiente
metropolitana_i_obitos_i60_i69_temp_med,Metropolitana I,obitos_i60_i69,temp_med,1.2098779653590421,1.124727179642113,1.301475342248879,1.0604215206541356,0.9874808949603936,1.1387499314723768,23.456304347826087,18.991666666666667,23.456304347826087,28.188666666666663,1.0049755800286912e-16,Wald HAC,quasipoisson,1.0275774870226886,FALSE,FALSE,FALSE,0.01593566835325333,27.627679948248073,-0.009698249732024185,-0.00472977183109654,0.007284773692906347,5479,4,3,21,7.235824176206576e-15,1.0049755800286912e-16,1,sinal_sugestivo
metropolitana_i_obitos_i60_i69_ur_med,Metropolitana I,obitos_i60_i69,ur_med,1.1198285324648005,1.0081763503809023,1.2438458228547864,1.1037266552881582,1.0056521887960062,1.211365662170001,77.19166666666666,62.21481209150327,77.19166666666666,88.9079861111111,5.646696890437128e-4,Wald HAC,quasipoisson,1.0337567383351092,FALSE,FALSE,FALSE,0.07374302275408073,22.243736463455644,-0.003937627331013312,0.0011354084770255181,0.008301886996012321,5479,4,3,21,0.004065621761114732,5.646696890437128e-4,5.646696890437128e-4,sinal_consistente
metropolitana_i_internacoes_i60_i64_temp_med,Metropolitana I,internacoes_i60_i64,temp_med,1.0936736769235422,1.0013463749836347,1.1945138480328639,0.8994332361629805,0.8251004576376626,0.9804626077057277,23.440486111111113,18.95347644927536,23.440486111111113,28.231291666666664,9.252997665703772e-16,Wald HAC,quasipoisson,1.3612813526229723,FALSE,FALSE,FALSE,5.625112597940074e-9,67.4256900869897,-0.007668950451727477,0.02339188737074107,0.03223225928790944,5844,4,3,21,3.331079159653358e-14,9.252997665703772e-16,9.252997665703772e-16,sinal_sugestivo
metropolitana_i_internacoes_i60_i64_ur_med,Metropolitana I,internacoes_i60_i64,ur_med,0.9763596372850856,0.8662513493346136,1.1004636726415462,1.07927511884619,0.972886477117156,1.1972977418825679,77.30376984126984,62.48234126984127,77.30376984126984,88.96423611111112,0.0028743904130106523,Wald HAC,quasipoisson,1.3813266855433703,FALSE,FALSE,FALSE,5.1574902792950184e-8,62.02771516272647,0.003206161979767749,0.024367984735584686,0.031115456978590937,5844,4,3,21,0.01379707398245113,1,1,sinal_sugestivo
