outcome,exposure,modelo_id,macro_regiao,rr_p05,rr_p05_low,rr_p05_high,rr_p95,rr_p95_low,rr_p95_high,cen,p05_val,p50_val,p95_val,p_association,p_method,family,dispersion,alerta_convergencia,rr_explosivo,modelo_invalido,lb_pvalue,lb_statistic,acf_lag1,acf_lag7,acf_lag14,n_obs,df_exp,df_lag,lag_max,p_fdr_p05,p_p05,p_p95,classificacao,log_rr_p05,se_log_rr_p05,log_rr_p95,se_log_rr_p95,region_id,outcome_id,exposure_id,mu_hat,tau_hat,post_mean,post_sd,rr_posterior,cr95_lower,cr95_upper,pr_gt_1,pr_gt_110
internacoes_i60_i64,temp_med,baia_da_ilha_grande_internacoes_i60_i64_temp_med,Baia da Ilha Grande,1.3499923967641558,0.9021524723673916,2.0201457371596554,0.894825328506582,0.6183113126944157,1.2949987362315067,22.827219202898547,18.35,22.827219202898547,27.87374999999999,0.06141979737071128,Wald HAC,quasipoisson,1.0453905053610144,FALSE,FALSE,FALSE,1.802548655667202e-4,40.96327383277239,-0.03666632643899181,-0.04013836122650889,-0.01317548695877233,5844,4,3,21,0.1340068306270064,1,1,evidencia_insuficiente,0.30009896040792694,0.2056483140364537,-0.11112674343398747,0.1885900319908194,1,1,1,0.10015755588655162,0.14801003344481606,0.16838548773470738,0.12013094338751433,1.1833927061061065,0.9351286539938133,1.497567517457762,0.9194950186901619,0.2714952125216469
internacoes_i60_i64,temp_med,baixada_litoranea_internacoes_i60_i64_temp_med,Baixada Litoranea,0.917615602737515,0.6929650301483616,1.2150950737110926,0.9965024879633424,0.7399343127985365,1.3420342743147016,23.345833333333335,19.770833333333332,23.345833333333335,26.987499999999997,0.06395383920018699,Wald HAC,quasipoisson,1.0289571159186748,FALSE,FALSE,FALSE,0.0068299491512459,30.34912558706948,-0.02082849792466457,0.00136772908987953,-0.00627619866487992,5844,4,3,21,0.13419529829790552,1,1,evidencia_insuficiente,-0.08597670945635806,0.14326481283442763,-0.003503642630605704,0.15188276560293776,2,1,1,0.10015755588655162,0.14801003344481606,0.004058874804994016,0.10294021846272622,1.0040671231932847,0.8206127568120347,1.228534140505155,0.5157259943822383,0.8123123218031377
internacoes_i60_i64,temp_med,centro_sul_internacoes_i60_i64_temp_med,Centro-Sul,0.8999356243456739,0.6250229836920796,1.2957669543324035,0.9186894169355256,0.7084601797118856,1.1913023045735154,19.670833333333334,10.321041666666668,19.670833333333334,26.454166666666666,0.7329314675094916,Wald HAC,quasipoisson,1.032386043285213,FALSE,FALSE,FALSE,0.01835079400050565,27.16016954667305,-0.02301307919012223,-0.01202851810901392,-0.01636032126928157,5844,4,3,21,0.7527761441905806,1,1,evidencia_insuficiente,-0.1054320467209186,0.1859871475987923,-0.08480717137972577,0.1325787008694438,3,1,1,0.10015755588655162,0.14801003344481606,0.020440925483732893,0.11581287071176498,1.020651271982055,0.8133837194720109,1.2807350258679888,0.5700492689837959,0.741011673402534
internacoes_i60_i64,temp_med,medio_paraiba_internacoes_i60_i64_temp_med,Medio Paraiba,1.053119413164026,0.8700458489712233,1.2747150046107796,0.8421454353944782,0.7167583534331815,0.9894672743732033,21.88294082125604,16.7378125,21.88294082125604,26.34375,0.00548977755523251,Wald HAC,quasipoisson,1.031504880552486,FALSE,FALSE,FALSE,1.5562491298748427e-5,47.55655704507963,0.004850765230781,0.00479849536315578,-0.01406007923234684,5844,4,3,21,0.02195911022093007,1,0.00548977755523251,sinal_sugestivo,0.051756629537064856,0.09743163178175697,-0.17180255353354135,0.08225202354843883,4,1,1,0.10015755588655162,0.14801003344481606,0.06638936292330569,0.08138175472617876,1.0686427260272997,0.911085187385838,1.253447308442993,0.7926861520959714,0.6388446305482068
internacoes_i60_i64,temp_med,metropolitana_i_internacoes_i60_i64_temp_med,Metropolitana I,1.0936736769235422,1.0013463749836349,1.194513848032864,0.8994332361629805,0.8251004576376626,0.9804626077057276,23.440486111111113,18.95347644927536,23.440486111111113,28.231291666666664,9.252997665703772e-16,Wald HAC,quasipoisson,1.3612813526229723,FALSE,FALSE,FALSE,5.625112597940074e-9,67.4256900869897,-0.0076689504517274704,0.02339188737074107,0.03223225928790944,5844,4,3,21,3.331079159653358e-14,9.252997665703772e-16,9.252997665703772e-16,sinal_sugestivo,0.08954237515639733,0.044998421287166,-0.10599045162251916,0.04401004163489059,5,1,1,0.10015755588655162,0.14801003344481606,0.09044051936957977,0.043052710459858756,1.0946563948527315,1.006075588841509,1.191036375479286,0.9821660296102153,0.545028035122017
internacoes_i60_i64,temp_med,metropolitana_ii_internacoes_i60_i64_temp_med,Metropolitana II,1.0060424392343368,0.8273367440520639,1.223348771605969,0.8957523540243739,0.771304975638875,1.040278884595032,21.996875000000003,14.417291666666667,21.996875000000003,28.229166666666668,5.342755907561536e-4,Wald HAC,quasipoisson,1.1015304821910443,FALSE,FALSE,FALSE,0.00247767982720803,33.45286187827907,0.00440930331052742,0.01108570569628535,-0.00614545049596927,5844,4,3,21,0.0040656217611147296,1,1,sinal_sugestivo,0.006024256905369225,0.09977945727283771,-0.11009129480792426,0.0763163929988053,6,1,1,0.10015755588655162,0.14801003344481606,0.035437310600423245,0.08273505787953721,1.0360726953169723,0.8809773147204637,1.2184724987180664,0.6657919346015583,0.765365784819056
internacoes_i60_i64,temp_med,noroeste_internacoes_i60_i64_temp_med,Noroeste,1.9196651490347747,1.4530528637840885,2.5361185241545905,0.9236260458199942,0.7097179167054236,1.202005828565211,23.820833333333333,18.439375,23.820833333333333,28.620833333333337,8.734333157208651e-5,Wald HAC,quasipoisson,1.1070208213266846,FALSE,FALSE,FALSE,0.00329523757201699,32.594219108389545,-0.00995296477134371,0.01025200917028135,-0.00591210589229952,5844,4,3,21,0.00125774397463804,8.734333157208651e-5,1,sinal_sugestivo,0.6521507692855842,0.14208367492412763,-0.0794480015746088,0.13440800343458367,7,1,1,0.10015755588655162,0.14801003344481606,0.38742619255940236,0.1024994226001332,1.4731842176496694,1.205057548945411,1.800969373646388,0.9999215193501575,0.002186453776070872
internacoes_i60_i64,temp_med,norte_internacoes_i60_i64_temp_med,Norte,0.959630774855022,0.7671663579473861,1.200380092934167,0.9725790108216936,0.7674604993274481,1.2325193715114162,23.764583333333334,19.796458333333337,23.764583333333334,27.6375,0.3405606694006015,Wald HAC,quasipoisson,1.0494869847816626,FALSE,FALSE,FALSE,7.916273986977584e-4,36.79755955993598,-0.02162376243806802,0.00535555458741303,-0.01046642563969758,5844,4,3,21,0.4155994609634459,1,1,evidencia_insuficiente,-0.041206678027487474,0.11420659631654186,-0.027803961728869425,0.12084913560750246,8,1,1,0.10015755588655162,0.14801003344481606,0.011549495915002513,0.09041865250393374,1.0116164488522346,0.8473249048727498,1.2077632012269175,0.5508200826946854,0.8228718621105844
internacoes_i60_i64,temp_med,serrana_internacoes_i60_i64_temp_med,Serrana,1.1241942865478072,0.8806045400165969,1.4351649764182617,0.922602877299408,0.7422958755525605,1.1467072595109349,17.786388888888887,12.093055555555557,17.786388888888887,22.439429924242425,0.2345596867185956,Wald HAC,quasipoisson,1.3470605494054,FALSE,FALSE,FALSE,6.267656380942732e-5,43.84600563878833,-0.01683594451790842,0.0109024628476133,0.00191739442771339,5844,4,3,21,0.32477495084113234,1,1,evidencia_insuficiente,0.11706658933471548,0.12459858133362149,-0.08055638917760034,0.11094437347167692,9,1,1,0.10015755588655162,0.14801003344481606,0.11005357802094545,0.09532000027126165,1.1163378800309363,0.9260994779531192,1.3456548589643524,0.8758666465655041,0.43853969144066623
internacoes_i60_i64,ur_med,baia_da_ilha_grande_internacoes_i60_i64_ur_med,Baia da Ilha Grande,0.8540948905904385,0.5357099613912492,1.3617034117458342,1.1734632682205142,0.7631580215554188,1.8043655481157448,81.375,69.68966131907308,81.375,91.1875,0.04693620946214158,Wald HAC,quasipoisson,1.0450543624178366,FALSE,FALSE,FALSE,8.132182170261792e-5,43.14140627872575,-0.03655733480089997,-0.04005132728241898,-0.01347754609420482,5844,4,3,21,0.11653127866462738,1,1,evidencia_insuficiente,-0.15771297826261285,0.23798438924113705,0.15995943477134472,0.2195151011914308,1,1,2,-0.02213651763029989,0.06782274247491639,-0.03232066484354215,0.0652256864433747,0.9681960658560644,0.8520048920960305,1.100232675463916,0.3101163770662022,0.9748120011432156
