modelo_id,sexo,faixa_etaria,macro_regiao,desfecho,exposicao,p_associacao,metodo_p,p_curva_auc,metodo_p_curva_auc,alerta_convergencia,avisos_modelo,cen,cen_mmt,cen_percentil_mmt,auc_rr_cumulativo,auc_excesso_rr_cumulativo,auc_protecao_rr_cumulativo,rr_cumulativo_max,exposicao_rr_max,p_associacao_fdr
baixada_litoranea_internacoes_i60_i69_ur_med_masculino_ate_64,Masculino,ate_64,Baixada Litoranea,internacoes_i60_i69,ur_med,0.21366604214508106,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.04534,0.059536679957510275,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,92.53812862318836,92.53812862318836,99,53.832941981003835,20.913980024482147,0,2.501284845595448,59.61916666666667,0.3976562451033453
centro_sul_internacoes_i60_i69_ur_med_masculino_ate_64,Masculino,ate_64,Centro-Sul,internacoes_i60_i69,ur_med,0.24875007523694073,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.1039,0.22992016090411874,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,76.42421569853738,76.42421569853738,31.6,55.109389054754864,6.978997091645527,0,1.345278856850184,51.445151515151515,0.4444334677566674
medio_paraiba_internacoes_i60_i69_ur_med_masculino_ate_64,Masculino,ate_64,Medio Paraiba,internacoes_i60_i69,ur_med,0.20441161771688277,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.02325,0.06319157975308762,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,58.92474138537271,58.92474138537271,2.8,44.59255715490799,7.172154377130228,0,1.6032833255417294,75.97707682841067,0.3903109910804387
metropolitana_i_internacoes_i60_i69_ur_med_masculino_ate_64,Masculino,ate_64,Metropolitana I,internacoes_i60_i69,ur_med,9.152028464753976e-4,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.2149,0.010584543402262265,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,Binomial negativa rejeitada por instabilidade numerica; mantido Quasi-Poisson.,92.29516666666665,92.29516666666665,99,55.09512554356486,17.38152832134266,0,2.1148337781529882,77.49616016174402,0.005574417337622877
metropolitana_ii_internacoes_i60_i69_ur_med_masculino_ate_64,Masculino,ate_64,Metropolitana II,internacoes_i60_i69,ur_med,1.3859073554223287e-4,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3224,1.6680972688257494e-5,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,97.54166666666667,97.54166666666667,99,67.1273807650784,28.07696409841173,0,3.6725735204120973,58.49125,0.0011606974101662003
noroeste_internacoes_i60_i69_ur_med_masculino_ate_64,Masculino,ate_64,Noroeste,internacoes_i60_i69,ur_med,8.045325209531449e-4,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.2818,0.002192013731372598,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,55.11958333333334,55.11958333333334,1,86.26131151457857,46.589228181245225,0,2.726069576096871,85.75245780590717,0.005225451887433076
norte_internacoes_i60_i69_ur_med_masculino_ate_64,Masculino,ate_64,Norte,internacoes_i60_i69,ur_med,8.189141017618999e-4,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3368,1.5175198477798625e-4,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,63.246111111111105,63.246111111111105,1,80.89043216082356,51.89057104971246,0,3.4140673815071674,84.90423523206749,0.005225451887433076
serrana_internacoes_i60_i69_ur_med_masculino_ate_64,Masculino,ate_64,Serrana,internacoes_i60_i69,ur_med,4.366998651583742e-9,Negative binomial likelihood-ratio test: modelo completo vs. modelo sem crossbasis | NW-HAC(lag=21): p=0.009799,0.002449572825494128,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,59.16486111111111,59.16486111111111,1,74.63964708468042,36.98013319579154,0,2.559032414419027,78.23296940928269,9.75296365520369e-8
baia_da_ilha_grande_obitos_i60_i69_temp_med_masculino_ate_64,Masculino,ate_64,Baia da Ilha Grande,obitos_i60_i69,temp_med,0.581614644713027,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.8534,0.4292228902532656,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,TRUE,glm.fit: algoritmo não convergiu,20.444741824894514,20.444741824894514,22.2,16.486616847781086,3.730721014447759,0,2.043844924642169,29.486895833333328,0.7535067497914133
baixada_litoranea_obitos_i60_i69_temp_med_masculino_ate_64,Masculino,ate_64,Baixada Litoranea,obitos_i60_i69,temp_med,0.0346091692088205,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.08633,0.15398859892214325,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,TRUE,glm.fit: algoritmo não convergiu,27.918729166666658,27.918729166666658,99,18.109045972497444,8.61977604496122,0,2.7404319582129144,18.429459239130434,0.12882301872172075
