estratificacao,exposicao,contrast,n_P05,n_P50,sexo,median_P05,median_P50,mean_P05,mean_P50,U_stat,p_value,mean_diff,n_P95,median_P95,mean_P95,faixa_etaria,desfecho,cid_grupo,macro_regiao,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
sexo_faixa_etaria,ur_med,P95_vs_P50,,2825,3,,0.0,,0.6169911504424779,3593864.0,0.004482121571038423,-0.10524872620005365,2640.0,0.0,0.5117424242424242,80+,,,,0.034650247529950884,0.900906435778723,True,True,False
macro_regiao,temp_med,P05_vs_P50,290.0,246,,6.0,5.0,6.979310344827586,6.073170731707317,40521.5,0.006306935567809924,0.9061396131202688,,,,,,,Medio Paraiba,0.04695163144925165,1.0,True,True,False
sexo_faixa_etaria,ur_med,P95_vs_P50,,2825,1,,0.0,,0.7766371681415929,3598367.5,0.009024066211671232,-0.09709171359613833,2640.0,0.0,0.6795454545454546,40-59,,,,0.06254611408779026,1.0,False,True,False
sexo,ur_med,P95_vs_P50,,2276,1,,3.0,,5.3651142355008785,2255910.0,0.00876512491714753,-0.40220479426773803,2076.0,2.0,4.9629094412331405,,,,,0.06292107529809478,1.0,False,True,False
faixa_etaria,ur_med,P95_vs_P50,,2825,,,1.0,,1.4506194690265486,3591389.0,0.011350579356905883,-0.1438012872083667,2640.0,1.0,1.3068181818181819,40-59,,,,0.07242750637263753,1.0,False,True,False
faixa_etaria_desfecho,ur_med,P95_vs_P50,,2825,,,1.0,,1.4506194690265486,3591389.0,0.011350579356905883,-0.1438012872083667,2640.0,1.0,1.3068181818181819,40-59,internacao,,,0.07242750637263753,1.0,False,True,False
sexo_cidgrupo,temp_med,P95_vs_P50,,557,3,,1.0,,1.481149012567325,152664.5,0.01091070219029711,-0.13250955678501208,588.0,1.0,1.348639455782313,,,I60-I62_hemorragico,,0.07310170467499064,1.0,False,True,False
sexo_cidgrupo,ur_med,P95_vs_P50,,1923,1,,2.0,,3.6068642745709827,1569686.5,0.0139011523327485,-0.3787940991323864,1710.0,2.0,3.2280701754385963,,,I64_nao_especificado,,0.08467065511764996,1.0,False,True,False
sexo_faixa_etaria,temp_med,P95_vs_P50,,2189,3,,0.0,,0.6528095020557332,2784332.0,0.014854323018936962,0.04244666492718907,2635.0,0.0,0.6952561669829223,40-59,,,,0.08781526255312733,1.0,False,True,False
cid_grupo,temp_med,P95_vs_P50,,1195,,,2.0,,2.7548117154811718,754457.5,0.01648073507972396,-0.2897478537230951,1331.0,1.0,2.4650638617580767,,,I60-I62_hemorragico,,0.09464650717212902,1.0,False,True,False
macro_regiao,temp_med,P05_vs_P50,290.0,242,,4.0,4.0,4.427586206896552,4.045454545454546,39192.0,0.018897846500129878,0.3821316614420063,,,,,,,Norte,0.10551297629239181,1.0,False,False,False
sexo_cidgrupo,temp_med,P05_vs_P50,1560.0,1311,3,2.0,2.0,2.9198717948717947,2.9298245614035086,973618.5,0.019763626773238358,-0.009952766531713841,,,,,,I64_nao_especificado,,0.10736456706543,1.0,False,False,False
sexo_cidgrupo,temp_med,P95_vs_P50,,606,2,,1.0,,2.0214521452145213,209877.5,0.022598685000298192,0.2944184248933368,649.0,1.0,2.315870570107858,,,I64_nao_especificado,,0.1164701457707676,1.0,False,False,False
