estratificacao,exposicao,contrast,n_extreme,n_ref,mean_extreme,mean_ref,mw_U,mw_p,cliffs_delta,sexo,faixa_etaria,desfecho,cid_grupo,macro_regiao,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
sexo,temp_med,P05_vs_P50,1039,1066,3.0587102983638115,3.027204502814259,529764.5,0.06379273893710033,-0.04337859140788787,2,,,,,0.31015254289860933,1.0,False,False,False
sexo,temp_med,P95_vs_P50,936,1066,3.252136752136752,3.027204502814259,489728.0,0.4473922429796513,-0.018360834495918923,2,,,,,0.8466777931657916,1.0,False,False,False
sexo,temp_med,P05_vs_P50,1464,1543,3.8866120218579234,3.8950097213220998,1099761.0,0.1978128891198493,-0.02630865994496563,3,,,,,0.5745060806121035,1.0,False,False,False
sexo,temp_med,P95_vs_P50,1444,1543,3.6281163434903045,3.8950097213220998,1081871.5,0.15897248640290074,-0.028880764349048422,3,,,,,0.5200586915782627,1.0,False,False,False
sexo,temp_med,P05_vs_P50,1704,1808,5.36443661971831,5.287610619469026,1524281.5,0.5850058209864109,-0.010474118679629399,1,,,,,0.967678801631657,1.0,False,False,False
sexo,temp_med,P95_vs_P50,1682,1808,5.004756242568371,5.287610619469026,1466846.0,0.06628780843760439,-0.03530484147611882,1,,,,,0.3136197388445799,1.0,False,False,False
sexo,ur_med,P05_vs_P50,957,1347,3.2528735632183907,3.250927988121752,615040.5,0.045130719975857214,-0.04576755962978219,2,,,,,0.2595753828676755,1.0,False,False,False
sexo,ur_med,P95_vs_P50,1004,1347,2.9402390438247012,3.250927988121752,624195.0,0.0006179406342053186,-0.0768995288334413,2,,,,,0.013943275848735394,0.2718938790503402,True,True,False
sexo,ur_med,P05_vs_P50,1476,1949,3.9336043360433606,3.9194458696767573,1444013.5,0.8391052986570693,0.003929122154228212,3,,,,,1.0,1.0,False,False,False
sexo,ur_med,P95_vs_P50,1394,1949,3.654232424677188,3.9194458696767573,1270570.0,0.0009457296061608976,-0.06469344173114565,3,,,,,0.016984531702481424,0.41612102671079493,True,True,False
sexo,ur_med,P05_vs_P50,1672,2276,5.25,5.3651142355008785,1908922.0,0.8590051904641218,0.0032511078783394017,1,,,,,1.0,1.0,False,False,False
sexo,ur_med,P95_vs_P50,1639,2276,5.070774862721171,5.3651142355008785,1793043.5,0.0353588670372865,-0.038676386540294726,1,,,,,0.23572578024857668,1.0,False,False,False
faixa_etaria,temp_med,P05_vs_P50,2108,2189,0.27751423149905124,0.25856555504796713,2295217.5,0.6680088587173523,-0.005196111660597276,,<40,,,,1.0,1.0,False,False,False
faixa_etaria,temp_med,P95_vs_P50,2104,2189,0.2666349809885932,0.25856555504796713,2315245.0,0.6603826478579558,0.005392065755670854,,<40,,,,1.0,1.0,False,False,False
faixa_etaria,temp_med,P05_vs_P50,2108,2189,1.4876660341555976,1.4408405664687072,2252808.0,0.15545859334738865,-0.023577435218181644,,40-59,,,,0.5162398571535926,1.0,False,False,False
faixa_etaria,temp_med,P95_vs_P50,2104,2189,1.3379277566539924,1.4408405664687072,2221962.5,0.03430462805344442,-0.03511573595596371,,40-59,,,,0.23401606734132627,1.0,False,False,False
faixa_etaria,temp_med,P05_vs_P50,2108,2189,2.8543643263757117,2.9451804476930104,2253405.0,0.1756497556971014,-0.023318680689977403,,60-79,,,,0.5348504671745647,1.0,False,False,False
faixa_etaria,temp_med,P95_vs_P50,2104,2189,2.723384030418251,2.9451804476930104,2255914.0,0.23714455943808221,-0.020372342181005268,,60-79,,,,0.6421144994015765,1.0,False,False,False
faixa_etaria,temp_med,P05_vs_P50,2108,2189,0.9867172675521821,1.007309273640932,2270247.0,0.31110622665534127,-0.016018942391793363,,80+,,,,0.7185655628784785,1.0,False,False,False
faixa_etaria,temp_med,P95_vs_P50,2104,2189,0.8878326996197718,1.007309273640932,2227371.5,0.037678115599366506,-0.03276688489109912,,80+,,,,0.2420200126090695,1.0,False,False,False
faixa_etaria,ur_med,P05_vs_P50,2106,2825,0.2744539411206078,0.2920353982300885,2935870.0,0.26281850824793973,-0.013061711586785332,,<40,,,,0.6742865517731399,1.0,False,False,False
faixa_etaria,ur_med,P95_vs_P50,2103,2825,0.2396576319543509,0.2920353982300885,2861032.5,0.001282285609390551,-0.03684748715488619,,<40,,,,0.020516569750248816,0.5642056681318425,True,True,False
faixa_etaria,ur_med,P05_vs_P50,2106,2825,1.4567901234567902,1.4506194690265486,3016431.0,0.36930982288514125,0.014020119506845171,,40-59,,,,0.7793588588463412,1.0,False,False,False
faixa_etaria,ur_med,P95_vs_P50,2103,2825,1.3152639087018545,1.4506194690265486,2864702.5,0.021777266003510088,-0.035611999713851684,,40-59,,,,0.1860581949814454,1.0,False,False,False
faixa_etaria,ur_med,P05_vs_P50,2106,2825,2.8542260208926877,2.895221238938053,2981264.5,0.8923715473700214,0.0021983544697409003,,60-79,,,,1.0,1.0,False,False,False
faixa_etaria,ur_med,P95_vs_P50,2103,2825,2.6990014265335236,2.895221238938053,2788762.0,0.00015986254927751538,-0.061176995358505966,,60-79,,,,0.004851001495317708,0.07033952168210676,True,True,False
faixa_etaria,ur_med,P05_vs_P50,2106,2825,0.9962013295346629,0.9493805309734513,2980683.5,0.8933222130607097,0.002003042298027549,,80+,,,,1.0,1.0,False,False,False
faixa_etaria,ur_med,P95_vs_P50,2103,2825,0.8031383737517832,0.9493805309734513,2802947.5,0.00013234737710575938,-0.05640151658608225,,80+,,,,0.00465862767412273,0.058232845926534126,True,True,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2108,2189,0.0,0.0,2307206.0,,0.0,0,<40,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,2104,2189,0.0,0.0,2302828.0,,0.0,0,<40,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2108,2189,0.0,0.0,2307206.0,,0.0,0,40-59,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,2104,2189,0.0,0.0,2302828.0,,0.0,0,40-59,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2108,2189,0.0,0.0,2307206.0,,0.0,0,60-79,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,2104,2189,0.0,0.0,2302828.0,,0.0,0,60-79,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2108,2189,0.0,0.0,2307206.0,,0.0,0,80+,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,2104,2189,0.0,0.0,2302828.0,,0.0,0,80+,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2108,2189,0.13709677419354838,0.13202375513933304,2304376.5,0.8984210342620154,-0.001226375104780414,1,<40,,,,1.0,1.0,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,2104,2189,0.12072243346007605,0.13202375513933304,2292026.5,0.6236624524667376,-0.0046905370266472355,1,<40,,,,1.0,1.0,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2108,2189,0.8092979127134725,0.788031064412974,2280307.0,0.44647031757271194,-0.011658690207983163,1,40-59,,,,0.8504196525194513,1.0,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,2104,2189,0.7172053231939164,0.788031064412974,2260895.0,0.23423864716906895,-0.018209349547599733,1,40-59,,,,0.6482075770716373,1.0,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2108,2189,1.573055028462998,1.5888533576975787,2238651.0,0.07400554092165912,-0.029713428276452125,1,60-79,,,,0.3356952371704125,1.0,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,2104,2189,1.5299429657794676,1.5888533576975787,2259776.0,0.26207060739041244,-0.01869527381115741,1,60-79,,,,0.6783003955987145,1.0,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2108,2189,0.38757115749525617,0.39744175422567385,2298316.0,0.7734461300870923,-0.003853145319490327,1,80+,,,,1.0,1.0,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,2104,2189,0.3578897338403042,0.39744175422567385,2252779.0,0.10089814282237784,-0.021733711766575705,1,80+,,,,0.43102119263928396,1.0,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2108,2189,0.0,0.0,2307206.0,,0.0,2,<40,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,2104,2189,0.0,0.0,2302828.0,,0.0,2,<40,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2108,2189,0.0,0.0,2307206.0,,0.0,2,40-59,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,2104,2189,0.0,0.0,2302828.0,,0.0,2,40-59,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2108,2189,0.0,0.0,2307206.0,,0.0,2,60-79,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,2104,2189,0.0,0.0,2302828.0,,0.0,2,60-79,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2108,2189,0.0,0.0,2307206.0,,0.0,2,80+,,,,,,False,False,False
