macro_regiao,dia_tipo,exposicao,outcome,contrast,mw_U,mw_p,cliffs_delta,mean_diff,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
Centro-Sul,Util,temp_med,internacoes_i60_i64,P05_vs_P50,19143.5,0.008988705807692452,-0.14335257528974807,-0.39058934085112096,0.07190964646153962,1.0,False,True,False
Centro-Sul,Util,temp_med,internacoes_i60_i64,P95_vs_P50,21233.0,0.3644457316303191,-0.04985009173490849,-0.1512731015348816,0.6247641113662613,1.0,False,False,False
Centro-Sul,Util,temp_med,obitos_i60_i69,P05_vs_P50,21988.5,0.7549352256121905,-0.016042421801584106,-0.08106233498903659,0.8984353098194664,1.0,False,False,False
Centro-Sul,Util,temp_med,obitos_i60_i69,P95_vs_P50,20605.0,0.12436791647149133,-0.07795229784758581,-0.18789994182664338,0.30354203342194497,1.0,False,False,False
Centro-Sul,Util,temp_med,obitos_i60_i64,P05_vs_P50,22046.0,0.7798001943083606,-0.013469369490311899,-0.022486239763726656,0.8912002220666978,1.0,False,False,False
Centro-Sul,Util,temp_med,obitos_i60_i64,P95_vs_P50,20385.0,0.06032375344781852,-0.0877970197341925,-0.11650333378082067,0.2285952762233123,1.0,False,False,False
Centro-Sul,Util,ur_med,internacoes_i60_i69,P05_vs_P50,32869.0,0.5724830540229271,-0.027918256291958713,-0.10986898530151112,0.7704444839187056,1.0,False,False,False
Centro-Sul,Util,ur_med,internacoes_i60_i69,P95_vs_P50,28345.0,0.0010474493724265724,-0.1617129506402863,-0.2808091562416821,0.018854088703678305,0.15083270962942644,True,True,False
Centro-Sul,Util,ur_med,internacoes_i60_i64,P05_vs_P50,32853.0,0.5651713583200263,-0.028391447076568183,-0.06527075385206871,0.775092148553179,1.0,False,False,False
Centro-Sul,Util,ur_med,internacoes_i60_i64,P95_vs_P50,27805.5,0.0003000538584815478,-0.17766835240883683,-0.3857835743648892,0.006172536517334697,0.04320775562134288,True,True,True
Centro-Sul,Util,ur_med,obitos_i60_i69,P05_vs_P50,34340.0,0.7249104859589806,0.01558572146807441,0.08027977405140041,0.8772026048579261,1.0,False,False,False
Centro-Sul,Util,ur_med,obitos_i60_i69,P95_vs_P50,36720.5,0.056101687934521124,0.08598763789075207,0.135835329606956,0.23081837321631546,1.0,False,False,False
Centro-Sul,Util,ur_med,obitos_i60_i64,P05_vs_P50,34063.5,0.8532888974297828,0.0074083932215420105,0.05080886049744182,0.9101748239251016,1.0,False,False,False
Centro-Sul,Util,ur_med,obitos_i60_i64,P95_vs_P50,36369.0,0.06725645876959509,0.07559222784136278,0.09781740750598883,0.24212325157054232,1.0,False,False,False
Medio Paraiba,Util,temp_med,internacoes_i60_i69,P05_vs_P50,32797.0,0.012696122062658886,0.13030741659773917,0.5990143369175627,0.07617673237595331,1.0,False,True,False
Medio Paraiba,Util,temp_med,internacoes_i60_i69,P95_vs_P50,26769.0,0.11899830888181182,-0.08136582017844887,0.01556280027453738,0.30599565141037327,1.0,False,False,False
Medio Paraiba,Util,temp_med,internacoes_i60_i64,P05_vs_P50,33259.5,0.005016527334264341,0.1462468982630273,0.4842156051833473,0.05556768739492808,0.722379936134065,False,True,False
Medio Paraiba,Util,temp_med,internacoes_i60_i64,P95_vs_P50,26784.0,0.11999654603825179,-0.08085106382978724,-0.3109471516815372,0.3031491689387414,1.0,False,False,False
Medio Paraiba,Util,temp_med,obitos_i60_i69,P05_vs_P50,30387.0,0.3553350600931535,0.047249793217535155,0.12279432037496552,0.6164849235351098,1.0,False,False,False
Medio Paraiba,Util,temp_med,obitos_i60_i69,P95_vs_P50,29275.5,0.9276459349263826,0.004649965682910089,0.02204873026767329,0.9541501044957077,1.0,False,False,False
Medio Paraiba,Util,temp_med,obitos_i60_i64,P05_vs_P50,29861.5,0.5571371596262522,0.029139095671353737,0.04814585056520537,0.7714206825594262,1.0,False,False,False
Medio Paraiba,Util,temp_med,obitos_i60_i64,P95_vs_P50,28889.0,0.8621658162854914,-0.008613589567604668,-0.024176389842141432,0.9062180842708815,1.0,False,False,False
Medio Paraiba,Util,ur_med,internacoes_i60_i69,P05_vs_P50,38730.5,0.8507530281124343,0.009237544298519909,0.7874713362518238,0.9211160605127108,1.0,False,False,False
Medio Paraiba,Util,ur_med,internacoes_i60_i69,P95_vs_P50,36593.5,0.3018933026928593,-0.050505967825635704,-0.14966268811624328,0.5573414818945095,1.0,False,False,False
Medio Paraiba,Util,ur_med,internacoes_i60_i64,P05_vs_P50,37218.5,0.5370743874044456,-0.030162080466958514,-0.11288305190744241,0.7811991089519209,1.0,False,False,False
Medio Paraiba,Util,ur_med,internacoes_i60_i64,P95_vs_P50,36066.0,0.18833290907901123,-0.064193046185781,-0.28069538142189954,0.39304259286054516,1.0,False,False,False
Medio Paraiba,Util,ur_med,obitos_i60_i69,P05_vs_P50,35748.0,0.15243135435763797,-0.06848030018761726,-0.16283614759224507,0.3484145242460296,1.0,False,False,False
Medio Paraiba,Util,ur_med,obitos_i60_i69,P95_vs_P50,37418.0,0.5431919316954252,-0.02911261027503892,-0.0797483134405812,0.7744518630112993,1.0,False,False,False
Medio Paraiba,Util,ur_med,obitos_i60_i64,P05_vs_P50,34013.5,0.014499886944504981,-0.1136778194705024,-0.16851678132165937,0.0835193488003487,1.0,False,True,False
Medio Paraiba,Util,ur_med,obitos_i60_i64,P95_vs_P50,35582.0,0.09888022682948913,-0.07675142708873897,-0.0911390762843799,0.29058678904992724,1.0,False,False,False
Metropolitana I,Util,temp_med,internacoes_i60_i69,P05_vs_P50,36096.5,2.2757143397136614e-06,0.24905706079795148,2.934098065677013,5.461714415312787e-05,0.0003277028649187672,True,True,True
Metropolitana I,Util,temp_med,internacoes_i60_i69,P95_vs_P50,26217.5,0.07820608967026572,-0.09278867780892072,-1.228295096716149,0.25025948694485034,1.0,False,False,False
Metropolitana I,Util,temp_med,internacoes_i60_i64,P05_vs_P50,37101.0,7.117000826034735e-08,0.28381604899823526,3.316689158794425,2.049696237898004e-06,1.0248481189490018e-05,True,True,True
Metropolitana I,Util,temp_med,internacoes_i60_i64,P95_vs_P50,26563.0,0.12487624987350743,-0.08083324682514965,-1.371345029239766,0.29970299969641784,1.0,False,False,False
Metropolitana I,Util,temp_med,obitos_i60_i69,P05_vs_P50,31551.5,0.0810883308793446,0.09178518287830029,0.8130904183535765,0.2538417314483831,1.0,False,False,False
Metropolitana I,Util,temp_med,obitos_i60_i69,P95_vs_P50,30999.5,0.16719704598662177,0.07268417592304231,0.24044084570400415,0.36479355487990206,1.0,False,False,False
Metropolitana I,Util,temp_med,obitos_i60_i64,P05_vs_P50,31768.0,0.05878705106901452,0.0992767915844839,0.6765632028789916,0.2351482042760581,1.0,False,False,False
Metropolitana I,Util,temp_med,obitos_i60_i64,P95_vs_P50,27810.0,0.4733982057868932,-0.03768296480847088,-0.4217273954116063,0.7100973086803397,1.0,False,False,False
Metropolitana I,Util,ur_med,internacoes_i60_i69,P05_vs_P50,37294.0,0.2964289933139459,-0.05133292633292633,-0.4870268620268625,0.5543607147689378,1.0,False,False,False
Metropolitana I,Util,ur_med,internacoes_i60_i69,P95_vs_P50,35810.5,0.06999670588359543,-0.08906949531949532,-0.9528388278388285,0.2399887058866129,1.0,False,False,False
Metropolitana I,Util,ur_med,internacoes_i60_i64,P05_vs_P50,37920.5,0.471560841122607,-0.03539631664631664,-0.4857295482295463,0.7147869591753201,1.0,False,False,False
Metropolitana I,Util,ur_med,internacoes_i60_i64,P95_vs_P50,34619.5,0.01514726675200238,-0.11936558811558812,-1.596840659340657,0.08389255431878241,1.0,False,True,False
Metropolitana I,Util,ur_med,obitos_i60_i69,P05_vs_P50,42634.5,0.08513246631980913,0.08451617826617827,0.692612942612941,0.26083138617133006,1.0,False,False,False
Metropolitana I,Util,ur_med,obitos_i60_i69,P95_vs_P50,36002.5,0.0863671935358876,-0.08418549043549044,-0.7689255189255189,0.2591015806076628,1.0,False,False,False
Metropolitana I,Util,ur_med,obitos_i60_i64,P05_vs_P50,42854.0,0.06599443938827548,0.0900997150997151,0.4479548229548236,0.2436717762028633,1.0,False,False,False
Metropolitana I,Util,ur_med,obitos_i60_i64,P95_vs_P50,38366.5,0.6237907194068931,-0.0240511803011803,-0.18879731379731446,0.8092420143656991,1.0,False,False,False
Metropolitana II,Util,temp_med,internacoes_i60_i69,P05_vs_P50,27413.5,2.6085978234002816e-10,-0.30883947255628674,-1.4655094168368503,1.2521269552321353e-08,3.756380865696406e-08,True,True,True
Metropolitana II,Util,temp_med,internacoes_i60_i69,P95_vs_P50,44736.0,0.008919695931318392,0.12790257923001286,0.7139777626503285,0.07555507141822637,1.0,False,True,False
Metropolitana II,Util,temp_med,internacoes_i60_i64,P05_vs_P50,27552.0,4.0705980494202746e-10,-0.30534755313516376,-1.7222978594660008,1.4654152977912988e-08,5.861661191165195e-08,True,True,True
Metropolitana II,Util,temp_med,internacoes_i60_i64,P95_vs_P50,44640.0,0.010271250975456775,0.1254821874290901,0.7093260721579311,0.07043143526027504,1.0,False,True,False
Metropolitana II,Util,temp_med,obitos_i60_i69,P05_vs_P50,41842.0,0.255857960701413,0.05493785139802839,0.1801300960592993,0.5047061142603214,1.0,False,False,False
