macro_regiao,exposicao,outcome,contrast,n_extreme,n_ref,median_extreme,median_ref,mean_extreme,mean_ref,std_extreme,std_ref,mw_U,mw_p,ks_stat,ks_p,bm_p_hat,bm_p,mood_stat,mood_p,cliffs_delta,hl_est,hl_ci_low,hl_ci_high,perm_p,kw_H,kw_p,jt_JT,jt_E,jt_p,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005,ks_fdr_bh,combined_signal
Baia da Ilha Grande,ur_med,internacoes_i60_i64,P01_vs_P50,59,326,1.0,0.5,1.1694915254237288,0.7852760736196319,1.0439907521650504,1.0464214876990656,11851.0,0.00216813599798856,0.19491525423728812,0.03840854675359765,0.6161484870541749,0.26466883178279244,5.933804630147631,0.014853140037433057,0.2322969741083498,0.0,0.0,1.0,0.316,,,,,,0.36872204883453746,1.0,False,False,False,0.36872204883453746,False
Norte,temp_med,internacoes_i60_i69,P01_vs_P50,59,249,4.0,2.0,3.5254237288135593,2.6345381526104417,2.2948426496288556,2.2132704652072768,9194.0,0.0023272155311466875,0.264379552106732,0.0019448171958908037,0.6258253352392622,0.22532043241290345,6.088455839303688,0.013606795411194972,0.25165067047852424,1.0,0.0,2.0,0.0005,,,,,,0.08001533605950736,0.5601073524165515,False,True,False,0.08001533605950736,False
Metropolitana I,ur_med,internacoes_i60_i64,P99_vs_P50,59,336,18.0,20.0,17.93220338983051,20.866071428571427,5.5840705849421015,7.758055186747014,7454.5,0.002354158857282052,0.19531880548829705,0.03710047424929065,0.37603410008071025,0.2736947881521816,6.0488060926323435,0.013915703074926481,-0.2479317998385795,-3.0,-4.0,-1.0,0.149,5.7844064412333625,0.05545390074355193,96103.0,106002.0,0.005453397324585265,0.3684460890964037,1.0,False,False,False,0.3684460890964037,False
Serrana,ur_med,internacoes_i60_i64,P99_vs_P50,59,329,2.0,3.0,2.2203389830508473,3.127659574468085,1.5630022892743736,2.1932739804710604,7335.5,0.0024662981858719585,0.23955489155633403,0.005140554108110146,0.37790428107773943,0.272341554284612,11.504164556328808,0.0006944043376675751,-0.24419143784452116,-1.0,-1.0,0.0,0.4185,18.55799541059474,9.336465548339918e-05,74070.0,104364.0,7.296659222820985e-18,0.12337329859464351,1.0,False,False,False,0.12337329859464351,False
Serrana,ur_med,internacoes_i60_i64,P95_vs_P50,234,329,2.0,3.0,2.5598290598290596,3.127659574468085,1.7316342673141816,2.1932739804710604,32834.0,0.0025491048349008997,0.12597095575818984,0.02328849434427665,0.4264931286207882,0.13466725036329505,8.647096139134998,0.003275830389961742,-0.1470137427584236,0.0,-1.0,0.0,,,,,,,0.35300454585008817,1.0,False,False,False,0.35300454585008817,False
Medio Paraiba,ur_med,internacoes_i60_i64,P01_vs_P50,59,328,2.0,3.0,2.76271186440678,3.548780487804878,2.110016330974213,2.2122300801282293,7347.0,0.0028420515801363543,0.18737081438610992,0.05144697239434131,0.3796506821000414,0.27894768257385916,6.307350457091395,0.012023839575488764,-0.24069863579991732,-1.0,-1.0,0.0,0.0735,,,,,,0.4115757791547305,1.0,False,False,False,0.4115757791547305,False
Metropolitana II,ur_med,internacoes_i60_i69,P01_vs_P50,59,328,8.0,7.0,9.322033898305085,6.984756097560975,7.497888240474615,3.4899349094530283,12015.5,0.002986081516764547,0.2046816866473749,0.025576735623640306,0.6208918974782969,0.2815008556694313,7.7045704987263495,0.00550811777002462,0.24178379495659363,1.0,0.0,3.0,0.403,,,,,,0.3348227208912913,1.0,False,False,False,0.3348227208912913,False
Centro-Sul,temp_med,internacoes_i60_i69,P05_vs_P50,234,191,1.0,2.0,1.6623931623931625,2.0785340314136125,1.5111113528251343,1.690475303416073,18710.0,0.003066248424145155,0.128563118091914,0.055223630599001094,0.41862442386002596,0.13780555757096882,7.9959698169776745,0.004688158258160494,-0.1627511522799481,0.0,-1.0,0.0,0.4325,,,,,,0.4298488003381707,1.0,False,False,False,0.4298488003381707,False
Serrana,temp_med,obitos_i60_i69,P99_vs_P50,59,237,1.0,1.0,1.1016949152542372,1.641350210970464,1.1745163484115535,1.3225004573272394,5301.5,0.0030966265350335594,0.1717085031824359,0.10647793406724278,0.3791389544446828,0.23187159144092256,4.971168648675849,0.02577322773231678,-0.24172209111063434,-1.0,-1.0,0.0,1.0,21.02229345503562,2.7231212408996764e-05,52044.0,83071.5,7.154470023624989e-26,0.6012871570856063,1.0,False,False,False,0.6012871570856063,False
Metropolitana I,ur_med,internacoes_i60_i69,P99_vs_P50,59,336,19.0,22.0,20.271186440677965,23.029761904761905,8.219098281348156,8.843160927033155,7554.5,0.003528794244382859,0.19799233252623083,0.03323543529967223,0.38107849071832123,0.2941723921471593,6.349153518958939,0.011743732026421455,-0.23784301856335754,-3.0,-5.0,-1.0,0.077,3.3842041452499876,0.18413205793639703,99300.0,106002.0,0.059909534965612694,0.3545113098631705,1.0,False,False,False,0.3545113098631705,False
Baixada Litoranea,temp_med,internacoes_i60_i64,P05_vs_P50,234,240,1.0,1.0,1.7307692307692308,1.4375,1.3556442022727861,1.4039564630001886,32201.5,0.004355259828841164,0.12061965811965802,0.056887956252400035,0.5733885327635327,0.15150702619896317,6.548084586754932,0.010499713262786642,0.14677706552706551,0.0,0.0,1.0,,,,,,,0.4200956769408003,1.0,False,False,False,0.4200956769408003,False
Baixada Litoranea,temp_med,internacoes_i60_i69,P05_vs_P50,234,240,2.0,1.0,1.7991452991452992,1.5,1.3767914965752819,1.4317821063276353,32185.0,0.004570498042419385,0.12104700854700856,0.055482037046656864,0.5730947293447294,0.15375873854957428,6.541150865149185,0.010540713742776469,0.14618945868945868,0.0,0.0,1.0,,,,,,,0.4204954386693994,1.0,False,False,False,0.4204954386693994,False
Centro-Sul,ur_med,obitos_i60_i64,P01_vs_P50,59,289,0.0,0.0,0.576271186440678,0.32525951557093424,0.6938809996765668,0.5562653692486805,10143.0,0.0046463646663894185,0.1738900944226145,0.08996713079649901,0.5948624714093015,0.2840146504755579,6.102737131788931,0.013497266488597172,0.18972494281860303,0.0,0.0,0.0,1.0,,,,,,0.5512879504125897,1.0,False,False,False,0.5512879504125897,False
Metropolitana I,temp_med,obitos_i60_i64,P01_vs_P50,59,247,12.0,10.0,12.05084745762712,10.562753036437247,3.898820894393757,3.555674786875361,9008.5,0.00466110736433891,0.22836752899197144,0.011346557360941449,0.6181637274411582,0.2595448638215843,6.430734218975509,0.011216220401803471,0.2363274548823166,2.0,1.0,3.0,0.062,,,,,,0.20423803249694608,1.0,False,False,False,0.20423803249694608,False
Medio Paraiba,temp_med,internacoes_i60_i64,P05_vs_P50,234,248,4.0,3.0,3.8632478632478633,3.379032258064516,2.2049128630028907,2.2364024319583216,33259.5,0.005016527334264341,0.13351254480286734,0.024109969178193465,0.5731234491315136,0.15838873580698212,7.309466841188703,0.0068592275205840185,0.1462468982630273,1.0,0.0,1.0,,,,,,,0.3306510058723675,1.0,False,False,False,0.3306510058723675,False
Baixada Litoranea,ur_med,internacoes_i60_i69,P05_vs_P50,234,303,2.0,1.0,1.9145299145299146,1.5313531353135315,1.5307260417583175,1.3268640231845625,40317.5,0.005059238356484435,0.10171786409410166,0.11925320700757903,0.5686369919043186,0.16235283529364547,3.4338055894211976,0.06387475594307825,0.13727398380863728,0.0,0.0,1.0,,,,,,,0.6025425196172415,1.0,False,False,False,0.6025425196172415,False
Metropolitana II,ur_med,obitos_i60_i69,P05_vs_P50,234,328,3.0,3.0,2.730769230769231,3.192073170731707,1.7855527305524104,1.900657291830252,33337.0,0.00708780996010127,0.08763289555972487,0.22744372989660994,0.43434698770064617,0.18242366933948798,2.1579853322435296,0.14183054290522615,-0.13130602459870752,0.0,-1.0,0.0,,,,,,,0.8851864082462657,1.0,False,False,False,0.8851864082462657,False
